n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.0333333,5.73244,0.999619,0.10157,0.999847,0.999466,0.101578,0.582024
2,0.0666667,5.51978,0.999201,0.105528,0.99968,0.998882,0.105545,0.582024
3,0.1,5.312,0.998743,0.109706,0.999498,0.998242,0.109733,0.582023
4,0.133333,5.10911,0.998241,0.114119,0.999297,0.99754,0.114159,0.582023
5,0.166667,4.91111,0.997691,0.118786,0.999075,0.996768,0.118841,0.582023
6,0.2,4.718,0.997086,0.123723,0.998831,0.99592,0.123795,0.582023
7,0.233333,4.52978,0.996417,0.12895,0.998564,0.994986,0.129043,0.582022
8,0.266667,4.34644,0.995678,0.134488,0.99827,0.993956,0.134605,0.58202
9,0.3,4.168,0.994862,0.140361,0.997945,0.992818,0.140505,0.582018
10,0.333333,3.99444,0.993961,0.146592,0.997585,0.99156,0.146769,0.582016
11,0.366667,3.82578,0.992965,0.153208,0.997182,0.990167,0.153424,0.582016
12,0.4,3.662,0.99186,0.160238,0.996735,0.988622,0.160501,0.582017
13,0.433333,3.50311,0.990634,0.167714,0.996238,0.986906,0.16803,0.582017
14,0.466667,3.34911,0.989267,0.175668,0.995686,0.984999,0.176048,0.582017
15,0.5,3.2,0.987742,0.184137,0.995073,0.982876,0.184592,0.582016
16,0.533333,3.05578,0.98604,0.19316,0.994391,0.980509,0.193704,0.582014
17,0.566667,2.91644,0.984139,0.202778,0.993628,0.977868,0.203428,0.582012
18,0.6,2.782,0.982013,0.213037,0.992774,0.974917,0.213811,0.58201
19,0.633333,2.65244,0.979636,0.223985,0.991815,0.971617,0.224907,0.582009
20,0.666667,2.52778,0.976973,0.235672,0.990736,0.967923,0.236772,0.58201
21,0.7,2.408,0.973989,0.248154,0.989522,0.963784,0.249464,0.582012
22,0.733333,2.29311,0.970639,0.261487,0.988156,0.959143,0.26305,0.582015
23,0.766667,2.18311,0.966877,0.275734,0.986618,0.953938,0.277597,0.582018
24,0.8,2.078,0.962648,0.290956,0.984884,0.948097,0.29318,0.582023
25,0.833333,1.97778,0.957893,0.307219,0.982931,0.941543,0.309875,0.582027
26,0.866667,1.88244,0.952545,0.324592,0.980729,0.934189,0.327766,0.582031
27,0.9,1.792,0.946532,0.343143,0.978246,0.925942,0.346938,0.582035
28,0.933333,1.70644,0.939776,0.362941,0.975445,0.9167,0.367481,0.582039
29,0.966667,1.62578,0.932189,0.384052,0.972287,0.906355,0.389487,0.582043
30,1,1.55,0.923682,0.406541,0.968727,0.894796,0.413051,0.582047
31,1.03333,1.47911,0.914158,0.430466,0.964719,0.881905,0.438267,0.582051
32,1.06667,1.41311,0.903518,0.455881,0.96021,0.867567,0.46523,0.582055
33,1.1,1.352,0.891663,0.482825,0.955148,0.851671,0.494031,0.582059
34,1.13333,1.29578,0.878498,0.511328,0.949477,0.834113,0.524756,0.582064
35,1.16667,1.24444,0.863929,0.541402,0.943142,0.814808,0.557482,0.582068
36,1.2,1.198,0.847881,0.57304,0.936086,0.793689,0.59228,0.582072
37,1.23333,1.15644,0.830289,0.606212,0.928259,0.770724,0.629202,0.582075
38,1.26667,1.11978,0.811119,0.640864,0.919612,0.745915,0.668287,0.582079
39,1.3,1.088,0.790357,0.67691,0.910109,0.719311,0.709552,0.582081
40,1.33333,1.06111,0.768032,0.714242,0.899717,0.691012,0.752996,0.582084
41,1.36667,1.03911,0.744204,0.752717,0.888427,0.661171,0.798584,0.582084
42,1.4,1.022,0.718982,0.79217,0.876231,0.629995,0.84627,0.582087
43,1.43333,1.00978,0.692511,0.832402,0.86316,0.597748,0.895957,0.582084
44,1.46667,1.00244,0.664967,0.873229,0.849226,0.564708,0.947581,0.582088
45,1.5,1,0.637091,0.913655,0.834783,0.531833,0.999987,0.582082
46,1.53333,1.00244,0.608935,0.953687,0.819786,0.499196,1.05331,0.582152
47,1.56667,1.00978,0.578007,0.997255,0.802844,0.46405,1.11299,0.582057
48,1.6,1.022,0.548509,1.03826,0.786168,0.43122,1.17098,0.582025
49,1.63333,1.03911,0.519844,1.07763,0.769458,0.399998,1.2285,0.582111
50,1.66667,1.06111,0.491022,1.11727,0.752035,0.369266,1.28837,0.58213
51,1.7,1.088,0.462493,1.15657,0.734286,0.339602,1.3497,0.581976
52,1.73333,1.11978,0.435822,1.19306,0.716937,0.312457,1.40903,0.582241
53,1.76667,1.15644,0.408768,1.23089,0.698888,0.285683,1.47236,0.581863
54,1.8,1.198,0.384701,1.26386,0.68198,0.262358,1.53043,0.582478
55,1.83333,1.24444,0.359394,1.30052,0.663796,0.238564,1.59624,0.581652
56,1.86667,1.29578,0.338485,1.32896,0.647946,0.21932,1.65098,0.582882
57,1.9,1.352,0.314762,1.36569,0.629383,0.198106,1.72144,0.581179
58,1.93333,1.41311,0.297735,1.38718,0.615836,0.183356,1.76768,0.583633
59,1.96667,1.47911,0.274779,1.42766,0.595327,0.163583,1.8503,0.58024
60,2,1.55,0.263005,1.43534,0.587936,0.15463,1.87196,0.585128
61,2.03333,1.62578,0.237808,1.49507,0.556612,0.132366,2.00388,0.578026
62,2.06667,1.70644,0.319291,1.18957,0.680054,0.217135,1.44234,0.64814
63,2.1,1.792,0.535791,0.676322,0.877999,0.470424,0.721742,0.649363
64,2.13333,1.88244,0.60985,0.536343,0.923549,0.563226,0.558104,0.615727
65,2.16667,1.97778,0.601972,0.530804,0.919638,0.553596,0.553512,0.631957
66,2.2,2.078,0.625497,0.478049,0.933628,0.583981,0.494752,0.62136
67,2.23333,2.18311,0.628406,0.457806,0.935463,0.587851,0.473355,0.628055
68,2.26667,2.29311,0.642113,0.423285,0.942062,0.604911,0.436102,0.62326
69,2.3,2.408,0.645042,0.402481,0.946774,0.610709,0.413642,0.625158
70,2.33333,2.52778,0.654628,0.377317,0.948817,0.621123,0.387376,0.624367
71,2.36667,2.65244,0.658098,0.358786,0.951549,0.626212,0.367781,0.626286
72,2.4,2.782,0.661603,0.33904,0.956865,0.633065,0.346602,0.62403
73,2.43333,2.91644,0.66776,0.32243,0.954839,0.637603,0.329976,0.627928
74,2.46667,3.05578,0.669776,0.305766,0.959712,0.642792,0.312117,0.625808
75,2.5,3.2,0.674979,0.290934,0.958276,0.646816,0.297207,0.628398
76,2.53333,3.34911,0.676757,0.276703,0.961628,0.650789,0.28212,0.627157
77,2.56667,3.50311,0.672706,0.263753,0.972279,0.654058,0.267458,0.621552
78,2.6,3.662,0.67683,0.251401,0.971003,0.657204,0.25513,0.623109
79,2.63333,3.82578,0.677273,0.239928,0.974449,0.659967,0.243056,0.621676
80,2.66667,3.99444,0.681283,0.229056,0.972563,0.66259,0.232288,0.623341
81,2.7,4.168,0.68615,0.218928,0.969035,0.664903,0.222404,0.626105
82,2.73333,4.34644,0.685709,0.209402,0.972772,0.667039,0.212306,0.624101
83,2.76667,4.52978,0.687495,0.20046,0.973039,0.66896,0.203219,0.624272
84,2.8,4.718,0.688427,0.192045,0.974301,0.670735,0.194551,0.623763
85,2.83333,4.91111,0.686481,0.184123,0.979369,0.672319,0.186033,0.62075
86,2.86667,5.10911,0.683754,0.176699,0.985406,0.673775,0.177983,0.617276
87,2.9,5.312,0.680631,0.169658,0.991791,0.675044,0.17035,0.6134
88,2.93333,5.51978,0.681667,0.163093,0.992091,0.676276,0.163754,0.613661
89,2.96667,5.73244,0.687946,0.156768,0.984507,0.677287,0.158017,0.618232
90,3,5.95,0.693451,0.151026,0.978295,0.6784,0.15272,0.623141
