iteration,error_rho,error_v,error_T
1,0.01788,0.0234409,0.0412279
2,0.00878209,0.0223677,0.00593405
3,0.00660963,0.0265008,0.00351841
4,0.00577825,0.0339464,0.0031843
5,0.00557217,0.0478514,0.00342586
6,0.00559991,0.082273,0.00369651
7,0.00566076,0.343611,0.00385494
8,0.00566268,0.13864,0.00387524
9,0.00556408,0.0582862,0.00375698
10,0.00535229,0.0469708,0.00349241
11,0.00506344,0.0595118,0.00313308
12,0.00473365,0.117886,0.00271908
13,0.00440258,1.07835,0.00229011
14,0.00411141,0.0959786,0.00189312
15,0.00389932,0.0671477,0.00159504
16,0.00379401,0.101183,0.00147303
17,0.00379837,1.19485,0.00155276
18,0.00389144,0.113058,0.00177169
19,0.00403396,0.0623192,0.00203881
20,0.00418759,0.0665913,0.00228946
21,0.00431888,0.133529,0.00248412
22,0.00440293,0.519409,0.00259914
23,0.00442321,0.0893077,0.00262173
24,0.0043755,0.0638234,0.00254552
25,0.00427031,0.0877817,0.00237757
26,0.00413482,0.369366,0.00214944
27,0.00400117,0.144981,0.00190443
28,0.00389986,0.0687759,0.00169781
29,0.00385515,0.0664106,0.00158409
30,0.0038751,0.114622,0.00158904
31,0.00394958,2.41316,0.00168898
32,0.0040546,0.102783,0.00183198
33,0.0041637,0.0647847,0.00197095
34,0.00425619,0.0736051,0.0020768
35,0.0043205,0.167924,0.00213616
36,0.0043527,0.281704,0.00214645
37,0.00435285,0.0813808,0.00211141
38,0.00432853,0.0633051,0.00203914
39,0.00429278,0.0824597,0.00194669
40,0.00425834,0.245877,0.00185187
41,0.00423414,0.18086,0.00177158
42,0.00422484,0.0739027,0.00171897
43,0.00423239,0.0631971,0.00170122
44,0.00425502,0.0882827,0.00171723
45,0.00428768,0.347206,0.0017584
46,0.00432086,0.147338,0.00181134
47,0.00434705,0.0697416,0.00186224
48,0.00436041,0.0640564,0.0019004
49,0.00435829,0.0945409,0.001919
50,0.00434166,0.494884,0.00191583
51,0.00431215,0.131869,0.00189139
52,0.0042769,0.0712762,0.00185162
53,0.0042459,0.072119,0.00180709
54,0.00422992,0.125402,0.00176996
55,0.00423535,0.885294,0.00175061
56,0.00426691,0.100121,0.00175499
57,0.00432554,0.07383,0.00178412
58,0.00440807,0.0937636,0.00183343
59,0.00450728,0.346961,0.00189444
60,0.00461074,0.149624,0.00195699
61,0.00470757,0.0777647,0.00201171
62,0.00478886,0.0725297,0.00205257
63,0.00484865,0.0978388,0.00207653
64,0.00488249,0.469038,0.00208297
65,0.00488653,0.134163,0.00207233
66,0.00486334,0.0756708,0.00204811
67,0.00481903,0.0659913,0.00201573
68,0.00476083,0.0717606,0.00198106
69,0.00469366,0.112916,0.00194816
70,0.00462626,2.67679,0.00192059
71,0.00456703,0.112413,0.00190129
72,0.00452281,0.0745352,0.00189135
73,0.00449625,0.0750058,0.00188995
74,0.00448443,0.101787,0.00189331
75,0.00448591,0.287098,0.00189814
76,0.00449884,0.247992,0.00190237
77,0.00452131,0.202395,0.00190475
78,0.00455014,0.445094,0.00190489
79,0.00457973,0.15059,0.00190162
80,0.00461054,0.307933,0.0018958
81,0.0046442,0.259668,0.00188964
82,0.00468321,0.199925,0.0018854
83,0.00472748,0.111464,0.0018846
84,0.0047743,0.195505,0.00188604
85,0.00482463,1.14447,0.00188991
86,0.0048799,2.89399,0.00189714
