iteration,error_rho,error_v,error_T
1,0.0178762,0.0200791,0.0356182
2,0.00872138,0.0135579,0.00586333
3,0.00640266,0.0111683,0.00320627
4,0.00538739,0.00958201,0.00266221
5,0.00502077,0.00850596,0.00287612
6,0.00495041,0.00785764,0.0032349
7,0.0049756,0.00758654,0.00354042
8,0.00498662,0.00760848,0.0037362
9,0.00492655,0.00780709,0.00380525
10,0.00476953,0.00806765,0.00374456
11,0.00450875,0.00830419,0.00355825
12,0.0041513,0.0084688,0.00324161
13,0.00373264,0.00853208,0.0028185
14,0.00331182,0.00849417,0.00234176
15,0.0029508,0.00837586,0.00187058
16,0.00270589,0.00820715,0.00148137
17,0.00260204,0.00801323,0.00125868
18,0.00261924,0.00781855,0.00123887
19,0.00270759,0.00764497,0.00135472
20,0.00281527,0.0074994,0.00150802
21,0.00290722,0.00738222,0.0016399
22,0.00296573,0.00729317,0.00172752
23,0.00298569,0.00722724,0.00176699
24,0.00297088,0.00716954,0.00176399
25,0.0029277,0.0071178,0.00172652
26,0.00286415,0.0070723,0.00166258
27,0.00278992,0.00703031,0.00158262
28,0.00271425,0.00699006,0.0014971
29,0.0026443,0.00695053,0.0014144
30,0.00258479,0.00691136,0.00134041
31,0.00253802,0.00687267,0.00127839
32,0.00250424,0.00683493,0.00122921
33,0.00248219,0.00679887,0.00119185
34,0.0024697,0.00676534,0.00116416
35,0.00246422,0.00673484,0.00114351
36,0.00246305,0.00670751,0.00112736
37,0.00246408,0.0066842,0.00111356
38,0.00246583,0.00666494,0.00110002
39,0.00246745,0.0066492,0.00108601
40,0.00246867,0.0066358,0.00107167
41,0.0024696,0.00662307,0.00105773
42,0.00247058,0.00660892,0.00104528
43,0.00247205,0.00659097,0.0010356
44,0.0024744,0.0065667,0.00102993
45,0.00247789,0.00653361,0.00102917
46,0.00248258,0.00648926,0.0010337
47,0.00248826,0.00643181,0.00104332
48,0.00249417,0.00635907,0.00105707
49,0.00249956,0.00626982,0.00107361
50,0.00250484,0.00616638,0.0010918
51,0.00250963,0.00604966,0.00111022
52,0.00251324,0.00592336,0.00112754
53,0.00251501,0.00579197,0.00114197
54,0.00251458,0.00566134,0.00115269
55,0.00251171,0.00553849,0.00115924
56,0.00250581,0.0054316,0.00116169
57,0.00249684,0.0053478,0.00115991
58,0.00248461,0.00529381,0.00115418
59,0.00246881,0.00527452,0.00114495
60,0.00244904,0.00529209,0.00113271
61,0.00242484,0.00534521,0.00111792
62,0.00239577,0.00542943,0.00110096
63,0.00236146,0.00553769,0.00108212
64,0.00232167,0.00566136,0.00106164
65,0.0022764,0.00579132,0.00103987
66,0.00222591,0.00591893,0.00101718
67,0.00217077,0.00603669,0.000993925
68,0.00211188,0.00613851,0.000970395
69,0.00205012,0.00622015,0.000947287
70,0.00198702,0.00627893,0.000925171
71,0.00192448,0.00631353,0.000904633
72,0.00186472,0.00632365,0.000886242
73,0.00181022,0.00630984,0.000870521
74,0.00176361,0.00627315,0.000857919
75,0.00172748,0.00621481,0.000848783
76,0.00170414,0.00613608,0.000843352
77,0.00169515,0.00603802,0.000841836
78,0.00170147,0.00592159,0.000843993
79,0.00172302,0.00578791,0.000849656
80,0.00175866,0.00563826,0.000858602
81,0.00180629,0.00547436,0.000870498
82,0.00186311,0.00529863,0.000884892
83,0.00192578,0.00511444,0.000901205
84,0.00199093,0.00492629,0.000918778
85,0.00205528,0.00473986,0.000936893
86,0.00211581,0.00456191,0.000954815
87,0.00217003,0.00439962,0.000971751
88,0.00221579,0.00425993,0.00098704
89,0.00225161,0.0041488,0.00100025
90,0.00227681,0.00406978,0.00101106
91,0.00229137,0.00402322,0.00101933
92,0.00229595,0.00400618,0.00102514
93,0.00229177,0.00401276,0.00102869
94,0.00228057,0.00403537,0.00103036
95,0.00226433,0.00406613,0.00103066
96,0.00224502,0.00409797,0.00103018
97,0.00222477,0.00412501,0.00102936
98,0.00220534,0.00414357,0.00102869
99,0.00218801,0.00415204,0.00102857
100,0.00217343,0.00415066,0.00102927
101,0.00216158,0.00414123,0.00103087
102,0.00215185,0.00412672,0.0010333
103,0.00214313,0.00411077,0.00103634
104,0.002134,0.00409727,0.0010396
105,0.00212295,0.00408965,0.00104259
106,0.00210851,0.00409089,0.00104477
107,0.00208952,0.00410295,0.00104562
108,0.00206522,0.00412608,0.00104462
109,0.00203536,0.00415928,0.00104146
110,0.00200034,0.00420039,0.001036
111,0.00196119,0.00424634,0.00102835
112,0.00191943,0.00429355,0.00101891
113,0.00187701,0.00433837,0.00100837
114,0.00183601,0.00437747,0.000997657
115,0.00179849,0.00440815,0.000987808
116,0.00176625,0.00442867,0.000979856
117,0.00174046,0.00443826,0.000974663
118,0.00172148,0.0044372,0.000972741
119,0.00170874,0.00442639,0.000974147
120,0.00170096,0.00440765,0.000978328
121,0.00169632,0.00438346,0.000984346
122,0.00169279,0.00435661,0.000990955
123,0.0016884,0.00432975,0.00099679
124,0.00168153,0.00430513,0.00100056
125,0.00167111,0.00428433,0.00100119
126,0.00165668,0.00426797,0.000997973
127,0.00163844,0.00425581,0.000990629
128,0.00161735,0.0042468,0.000979312
129,0.00159496,0.00423913,0.000964824
130,0.00157313,0.00423074,0.000948283
131,0.00155364,0.00421936,0.000931004
132,0.00153823,0.0042033,0.000914392
133,0.00152825,0.00418149,0.000899693
134,0.00152444,0.00415355,0.000887805
135,0.00152689,0.00411983,0.000879137
136,0.00153508,0.00408131,0.000873571
137,0.00154799,0.00403938,0.000870527
138,0.00156449,0.00399575,0.000869059
139,0.00158351,0.00395216,0.000868114
140,0.00160413,0.00391003,0.000866691
141,0.00162578,0.00387046,0.000863967
142,0.00164817,0.00383396,0.000859426
143,0.00167125,0.00380013,0.000852737
144,0.00169538,0.00376826,0.000843916
145,0.00172108,0.00373728,0.000833241
146,0.00174886,0.00370588,0.000821159
147,0.00177915,0.00367281,0.000808216
148,0.00181215,0.00363699,0.000794979
149,0.00184782,0.0035976,0.000781949
150,0.00188589,0.00355436,0.000769593
151,0.00192584,0.00350746,0.000758246
152,0.00196702,0.00345768,0.00074815
153,0.00200868,0.0034063,0.00073945
154,0.00205004,0.00335476,0.000732257
155,0.00209035,0.00330449,0.000726634
156,0.00212871,0.00325658,0.000722637
157,0.00216457,0.00321218,0.000720403
158,0.00219752,0.00317209,0.000720108
159,0.00222731,0.00313672,0.000721963
160,0.00225381,0.00310605,0.000726192
161,0.002277,0.00307966,0.00073301
162,0.00229688,0.00305663,0.000742554
163,0.00231357,0.00303619,0.000754886
164,0.00232724,0.00301762,0.000770012
165,0.00233799,0.00300031,0.000787831
166,0.00234595,0.00298371,0.000808133
167,0.00235126,0.00296758,0.000830642
168,0.00235399,0.00295189,0.000855012
169,0.00235424,0.00293679,0.000880859
170,0.00235176,0.00292265,0.00090786
171,0.00234666,0.00290956,0.000935557
172,0.0023392,0.00289779,0.000963532
173,0.00232963,0.00288762,0.000991428
174,0.00231829,0.00287921,0.00101892
175,0.00230556,0.00287257,0.00104576
176,0.00229189,0.00286749,0.00107176
177,0.00227786,0.00286365,0.00109675
178,0.00226411,0.00286096,0.00112061
179,0.00225128,0.00285929,0.00114329
180,0.00224005,0.00285854,0.00116475
181,0.00223106,0.00285868,0.001185
182,0.00222489,0.00285978,0.00120403
183,0.00222204,0.00286196,0.00122187
184,0.00222292,0.00286551,0.00123852
185,0.00222781,0.0028708,0.00125404
186,0.00223686,0.00287827,0.00126846
187,0.00225009,0.00288839,0.0012819
188,0.00226739,0.00290153,0.00129447
189,0.00228852,0.00291795,0.00130635
190,0.00231329,0.00293818,0.00131752
191,0.00234131,0.00296197,0.00132829
192,0.00237222,0.00298931,0.00133911
193,0.00240563,0.00302016,0.00135047
194,0.00244123,0.00305443,0.00136294
195,0.00247885,0.00309196,0.00137719
196,0.00251822,0.00313261,0.00139392
197,0.00255936,0.00317621,0.0014139
198,0.00260251,0.00322264,0.00143789
199,0.00264808,0.00327178,0.00146675
200,0.00269675,0.00332362,0.00150134
201,0.00274946,0.00337823,0.00154263
202,0.00280748,0.00343583,0.00159166
203,0.00287245,0.00349684,0.00164968
204,0.00294644,0.00356183,0.00171826
205,0.00303209,0.00363187,0.0017994
206,0.00313276,0.0037086,0.00189574
207,0.00325472,0.00376887,0.00196576
208,0.00338132,0.00381853,0.00202651
209,0.00350742,0.00385948,0.00208229
210,0.0036294,0.00389043,0.00213122
211,0.00374232,0.00390908,0.00217074
212,0.00382617,0.00389936,0.00218917
213,0.00389401,0.00387726,0.00219611
214,0.00394361,0.00384356,0.00219115
215,0.0039739,0.00379998,0.00217475
216,0.00398225,0.00374777,0.0021464
217,0.00397167,0.00369109,0.00211095
218,0.00394582,0.00363403,0.00207165
219,0.00390959,0.00358085,0.00203218
220,0.00386885,0.0035356,0.00199636
221,0.0038299,0.00350183,0.00196784
222,0.00379869,0.0034823,0.00194976
223,0.00378071,0.00347912,0.00194503
224,0.00378087,0.00349373,0.00195628
225,0.00380338,0.00352715,0.00198614
226,0.00385194,0.00358018,0.00203768
227,0.00393028,0.00365382,0.00211478
228,0.00404267,0.00374961,0.00222277
229,0.00419291,0.00385634,0.00234888
230,0.00435323,0.00393025,0.00243738
231,0.00447788,0.00396776,0.00250225
232,0.00458065,0.00398579,0.00255012
233,0.00465679,0.00398464,0.00257612
234,0.00470272,0.00396534,0.00257642
235,0.00471469,0.00392994,0.00254861
236,0.00469884,0.00388519,0.00249912
237,0.00466289,0.00383807,0.00243528
238,0.00461708,0.00379573,0.00236733
239,0.00457297,0.00376472,0.00230682
240,0.00454213,0.00375034,0.00226481
241,0.00453476,0.00375647,0.00225049
242,0.00455947,0.00378593,0.00227116
243,0.00462388,0.00384122,0.00233285
244,0.00473452,0.00392503,0.00244164
245,0.00489556,0.00402356,0.00257755
246,0.0050449,0.00406983,0.00265948
247,0.00516821,0.00409073,0.00272392
248,0.00526323,0.00409172,0.00276668
249,0.00532108,0.00407248,0.00277976
250,0.00533395,0.00403477,0.00275769
251,0.00530946,0.0039873,0.00270611
252,0.00525918,0.00393968,0.00263414
253,0.00519911,0.00390192,0.0025567
254,0.00514752,0.00388278,0.002492
255,0.0051223,0.00388868,0.00245808
256,0.00513863,0.00392351,0.00246991
257,0.0052084,0.00398954,0.0025388
258,0.00534165,0.00408886,0.00267397
259,0.0054946,0.00415328,0.00278554
260,0.00562934,0.00417862,0.00286266
261,0.00573562,0.00418027,0.00291786
262,0.0057987,0.00415694,0.00293803
263,0.00580977,0.00411223,0.00291691
264,0.00578041,0.00405807,0.00286158
265,0.00572866,0.00400802,0.00278715
266,0.0056787,0.00397582,0.00271772
267,0.00565657,0.00397292,0.0026813
268,0.0056859,0.0040072,0.00270344
269,0.00578496,0.00408333,0.00280335
270,0.00593091,0.0041499,0.00291005
271,0.00604709,0.00416662,0.00297841
272,0.0061415,0.0041636,0.0030296
273,0.00619547,0.00413829,0.00304649
274,0.00619318,0.00409241,0.00301736
275,0.00614794,0.00403976,0.00295148
276,0.0060825,0.00399583,0.00286822
277,0.00602704,0.00397585,0.00279849
278,0.00601281,0.00399151,0.00277683
279,0.00606655,0.00404982,0.00283222
280,0.0061996,0.00414382,0.00296936
281,0.00631308,0.0041712,0.00305235
282,0.00641354,0.00417969,0.00312701
283,0.00647586,0.00416428,0.00316882
284,0.00648077,0.00412634,0.0031603
285,0.00643848,0.00407992,0.00310789
286,0.00637746,0.00404351,0.00303508
287,0.00633436,0.00403499,0.00298134
288,0.00634665,0.00406777,0.00299119
289,0.00644474,0.00414927,0.0031005
290,0.00655912,0.00418323,0.00317415
291,0.00665134,0.00418677,0.00323879
292,0.00671514,0.00416804,0.00327556
293,0.00672862,0.00412661,0.00326176
294,0.00668686,0.00407184,0.00319558
295,0.00661895,0.00402243,0.00310115
296,0.00656191,0.00399572,0.00301891
297,0.0065537,0.00400383,0.00299369
298,0.00662326,0.00405129,0.00305714
299,0.00670964,0.00407508,0.00315443
300,0.00678395,0.00405904,0.00323624
301,0.0068118,0.00400521,0.00327975
