iteration,error_rho,error_v,error_T
1,0.0178695,0.0151798,0.0226796
2,0.00861275,0.00793109,0.00577966
3,0.00601706,0.00593512,0.00270223
4,0.00457643,0.00494254,0.0013406
5,0.00370127,0.00439598,0.000665348
6,0.00314318,0.00405864,0.000437928
7,0.00277814,0.0038235,0.00048206
8,0.00253541,0.00364128,0.000563513
9,0.00237049,0.00348946,0.000616212
10,0.002254,0.00335807,0.000640613
11,0.0021663,0.00324307,0.000646168
12,0.0020946,0.00314308,0.000640989
13,0.00203098,0.00305758,0.0006307
14,0.00197081,0.00298596,0.000618942
15,0.00191184,0.00292715,0.000608106
16,0.00185334,0.00287957,0.000599465
17,0.00179495,0.00283974,0.00059355
18,0.00173744,0.0028055,0.000590223
19,0.00168274,0.00277697,0.000589114
20,0.001632,0.00275271,0.000589878
21,0.00158631,0.00273173,0.000592016
22,0.00154658,0.00271334,0.000595058
23,0.00151346,0.00269705,0.000598594
24,0.00148733,0.00268245,0.000602297
25,0.00146831,0.00266904,0.000605936
26,0.00145628,0.00265637,0.000609383
27,0.0014509,0.00264396,0.000612591
28,0.00145165,0.00263141,0.000615578
29,0.00145787,0.00261848,0.000618409
30,0.00146881,0.00260506,0.000621168
31,0.00148364,0.00259118,0.00062394
32,0.00150154,0.00257696,0.000626809
33,0.00152172,0.00256257,0.000629846
34,0.00154343,0.00254823,0.000633113
35,0.00156599,0.00253406,0.000636654
36,0.0015888,0.00252012,0.00064049
37,0.00161133,0.0025065,0.000644635
38,0.00163309,0.00249324,0.000649078
39,0.00165361,0.00248038,0.000653784
40,0.00167244,0.002468,0.000658689
41,0.00168912,0.00245625,0.000663696
42,0.00170319,0.00244535,0.000668683
43,0.0017142,0.00243561,0.000673516
44,0.00172176,0.00242743,0.000678055
45,0.00172556,0.00242129,0.000682172
46,0.00172538,0.00241765,0.000685767
47,0.00172116,0.00241696,0.000688784
48,0.00171265,0.00241918,0.000691051
49,0.00169981,0.0024242,0.00069248
50,0.0016837,0.00243275,0.000693458
51,0.00166476,0.00244467,0.000694047
52,0.00164346,0.0024596,0.000694313
53,0.0016203,0.00247699,0.000694312
54,0.00159572,0.00249624,0.000694083
55,0.00157014,0.00251672,0.000693646
56,0.00154392,0.00253778,0.000693
57,0.0015173,0.00255877,0.000692122
58,0.00149049,0.00257915,0.000690974
59,0.00146363,0.00259853,0.000689511
60,0.00143681,0.00261665,0.000687685
61,0.00141009,0.00263335,0.000685451
62,0.00138352,0.00264873,0.000682768
63,0.00135717,0.00266306,0.000679608
64,0.00133107,0.00267686,0.000675955
65,0.00130531,0.00269071,0.000671797
66,0.00127992,0.00270548,0.000667134
67,0.00125497,0.0027221,0.000661973
68,0.0012305,0.00274158,0.000656324
69,0.00120654,0.00276476,0.000650202
70,0.00118309,0.00279243,0.000643625
71,0.00116016,0.00282516,0.000636619
72,0.00113775,0.00286319,0.000629216
73,0.00111587,0.00290637,0.000621455
74,0.00109452,0.00295427,0.000613389
75,0.00107374,0.0030062,0.000605082
76,0.0010536,0.00306124,0.000596611
77,0.00103415,0.00311833,0.000588059
78,0.00101548,0.00317644,0.000579519
79,0.000997701,0.00323468,0.000571089
80,0.000980899,0.0032923,0.000562864
81,0.000965159,0.00334877,0.000554929
82,0.000950542,0.0034038,0.000547361
83,0.000937085,0.00345738,0.000540222
84,0.000924798,0.00350967,0.000533556
85,0.000913653,0.00356099,0.000527383
86,0.00090359,0.0036117,0.000521704
87,0.00089453,0.00366221,0.0005165
88,0.000886375,0.0037129,0.000511735
89,0.000879021,0.00376402,0.000507356
90,0.000872362,0.00381563,0.000503303
91,0.000866309,0.00386759,0.000499509
92,0.000860803,0.0039195,0.000495916
93,0.000855829,0.00397066,0.000492478
94,0.000851418,0.00401992,0.000489169
95,0.000847672,0.00406583,0.000485996
96,0.00084476,0.00410652,0.000483006
97,0.00084292,0.00413978,0.000480292
98,0.000842444,0.00416308,0.000477985
99,0.000843655,0.00417371,0.00047626
100,0.000846882,0.00416903,0.000475316
101,0.000852405,0.0041466,0.000475357
102,0.000860397,0.00410446,0.000476565
103,0.000870874,0.00404136,0.000479068
104,0.000883658,0.00395714,0.000482909
105,0.000898354,0.00385299,0.000488022
106,0.000914342,0.00373172,0.000494214
107,0.000930808,0.0035979,0.000501166
108,0.000946782,0.00345798,0.000508446
109,0.000961226,0.00332023,0.000515537
110,0.000973082,0.00319404,0.000521861
111,0.000981376,0.00308889,0.000526834
112,0.000985304,0.00301288,0.000529954
113,0.000984297,0.00297096,0.00053082
114,0.0009781,0.00296373,0.000529196
115,0.000966864,0.00298732,0.000525073
116,0.000951177,0.00303392,0.000518702
117,0.000932105,0.00309367,0.000510636
118,0.000911164,0.00315603,0.000501738
119,0.00089028,0.00321125,0.000493164
120,0.000871615,0.00325132,0.00048623
121,0.000857326,0.00327025,0.000482261
122,0.000849229,0.00326411,0.000482357
123,0.000848452,0.00323095,0.000487146
124,0.000855177,0.00317073,0.000496603
125,0.000868571,0.00308524,0.00051002
126,0.000886938,0.00297805,0.000526113
127,0.000908028,0.00285445,0.000543247
128,0.000929399,0.00272133,0.000559673
129,0.000948736,0.00258688,0.000573739
130,0.000964093,0.00246011,0.000584048
131,0.000974014,0.00234989,0.000589501
132,0.000977674,0.0022637,0.000589388
133,0.000975005,0.00220564,0.000583746
134,0.000966522,0.00217574,0.0005731
135,0.0009533,0.00217007,0.000558516
136,0.000936856,0.00218204,0.000541558
137,0.000918975,0.00220419,0.000524165
138,0.000901505,0.00223009,0.000508456
139,0.000886108,0.00225547,0.000496423
140,0.000873989,0.00227908,0.000489546
141,0.00086577,0.00230237,0.000488458
142,0.000861382,0.00232911,0.000492783
143,0.000860141,0.00236445,0.000501281
144,0.000860939,0.00241368,0.000512186
145,0.000862483,0.00248099,0.000523587
146,0.000863546,0.00256836,0.000533748
147,0.000863173,0.00267506,0.000541309
148,0.000860814,0.0027979,0.000545384
149,0.000856398,0.00293181,0.000545591
150,0.000850322,0.00307066,0.000542035
151,0.000843414,0.00320857,0.000535255
152,0.00083682,0.0033396,0.000526167
153,0.000831843,0.00345911,0.000515913
154,0.000829786,0.00356324,0.000505894
155,0.000831682,0.00364918,0.000497476
156,0.000838118,0.00371526,0.000491792
157,0.000849024,0.00375871,0.000489996
158,0.000864022,0.00378162,0.000491828
159,0.000882208,0.00378551,0.000496849
160,0.000902406,0.00377242,0.000504258
161,0.000923369,0.00374492,0.000513021
162,0.000943952,0.00370613,0.000522059
163,0.000963218,0.00365946,0.000530414
164,0.000980505,0.00360845,0.000537343
165,0.000995438,0.00355607,0.000542381
166,0.00100797,0.00350456,0.000545363
167,0.00101831,0.00345537,0.000546414
168,0.00102686,0.003409,0.000545893
169,0.00103411,0.00336506,0.000544328
170,0.00104061,0.00332251,0.000542331
171,0.00104686,0.00327997,0.000540519
172,0.00105325,0.00323604,0.000539408
173,0.00106003,0.00318955,0.000539365
174,0.0010673,0.00314007,0.000540576
175,0.00107507,0.00308773,0.00054304
176,0.00108324,0.00303319,0.000546607
177,0.00109166,0.00297753,0.000551035
178,0.0011002,0.00292195,0.000556048
179,0.00110873,0.00286759,0.00056139
180,0.00111719,0.00281541,0.000566874
181,0.00112556,0.00276597,0.000572391
182,0.00113388,0.00271945,0.000577913
183,0.00114216,0.00267577,0.000583471
184,0.00115044,0.00263476,0.000589132
185,0.00115868,0.00259634,0.000594967
186,0.00116682,0.00256089,0.000601016
187,0.00117469,0.00252941,0.000607275
188,0.00118212,0.00250347,0.000613693
189,0.00118886,0.00248518,0.000620166
190,0.0011947,0.00247689,0.000626554
191,0.0011994,0.00248088,0.000632697
192,0.00120277,0.00249884,0.000638433
193,0.00120473,0.0025317,0.000643617
194,0.00120527,0.00257932,0.000648139
195,0.00120452,0.00264047,0.000651935
196,0.00120268,0.00271298,0.000654987
197,0.00120009,0.00279404,0.000657325
198,0.00119719,0.0028804,0.000659022
199,0.00119451,0.00296879,0.000660189
200,0.00119265,0.00305613,0.000660946
201,0.00119221,0.00313969,0.000661447
202,0.0011938,0.00321713,0.000661857
203,0.00119797,0.00328658,0.000662355
204,0.00120523,0.00334661,0.000663104
205,0.00120933,0.00340074,0.000674292
206,0.00121593,0.00344296,0.000686133
207,0.00122542,0.00347247,0.000697601
208,0.00123768,0.00348908,0.000708273
209,0.00125239,0.00349294,0.000717818
210,0.0012691,0.00348453,0.00072597
211,0.0012872,0.00346466,0.000732567
212,0.00130604,0.00343443,0.00073749
213,0.00132494,0.00339521,0.000740673
214,0.00134323,0.00334868,0.000742101
215,0.00136029,0.00329668,0.000741789
216,0.00137556,0.00324121,0.000739826
217,0.0013886,0.00318428,0.00073632
218,0.00139903,0.00312778,0.000731414
219,0.00140665,0.00307335,0.000725283
220,0.00141125,0.00302232,0.000718142
221,0.00141274,0.00297565,0.000710216
222,0.00141114,0.00293385,0.000701746
223,0.00140653,0.00289696,0.000692972
224,0.00139905,0.00286469,0.000684136
225,0.00138891,0.00283645,0.000675467
226,0.00137631,0.00281149,0.000667159
227,0.00136149,0.00278905,0.000659367
228,0.00134465,0.00276851,0.000652186
229,0.00132603,0.00274945,0.000645664
230,0.00130581,0.00273169,0.000639792
231,0.00128419,0.00271535,0.000634502
232,0.0012613,0.00270074,0.00062968
233,0.00123725,0.00268831,0.000625189
234,0.00121221,0.0026786,0.000620845
235,0.00118636,0.00267215,0.000616458
236,0.0011599,0.00266937,0.000611831
237,0.00113307,0.00267047,0.000606808
238,0.00110615,0.00267539,0.000601242
239,0.00107946,0.0026838,0.000595073
240,0.00105335,0.00269503,0.000588278
241,0.00102817,0.00270822,0.000580963
242,0.00100449,0.0027223,0.000573563
243,0.000982503,0.00273608,0.000565539
244,0.000962524,0.00274846,0.000556849
245,0.000944832,0.00275849,0.000547667
246,0.000929519,0.00276492,0.000538266
247,0.000916441,0.00276592,0.00052887
248,0.000905696,0.00276298,0.00051934
249,0.000897032,0.00275612,0.000509965
250,0.00089012,0.00274563,0.000500953
251,0.000884545,0.00273204,0.000492449
252,0.000879843,0.00271602,0.000484564
253,0.000875664,0.00269839,0.000477441
254,0.000871675,0.00268001,0.000471158
255,0.000867698,0.00266169,0.000465731
256,0.000863446,0.0026441,0.000461214
257,0.00085881,0.00262782,0.000457617
258,0.000853804,0.00261326,0.00045491
259,0.000848531,0.00260064,0.000453042
260,0.000843188,0.00258997,0.000451935
261,0.000837928,0.0025811,0.000451493
262,0.000832945,0.00257371,0.000451622
263,0.000828381,0.00256738,0.000452235
264,0.000824545,0.00256164,0.000453075
265,0.000821591,0.00255606,0.000453975
266,0.000819595,0.00255029,0.000454749
267,0.000818512,0.00254408,0.000455216
268,0.000818343,0.00253736,0.000455249
269,0.000818993,0.00253025,0.000454623
270,0.000820251,0.00252288,0.00045328
271,0.000821867,0.00251561,0.000451189
272,0.000823605,0.00250886,0.000448341
273,0.000825245,0.0025031,0.000444778
274,0.000826572,0.00249874,0.000440626
275,0.000827485,0.0024961,0.000435993
