n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.0333333,5.73244,0.999599,0.102141,0.99984,0.999439,0.102149,0.585282
2,0.0666667,5.51978,0.999161,0.106121,0.999662,0.998824,0.106139,0.585271
3,0.1,5.312,0.998685,0.110317,0.999469,0.998155,0.110347,0.585236
4,0.133333,5.10911,0.998157,0.114751,0.999263,0.997421,0.114793,0.585193
5,0.166667,4.91111,0.997577,0.119434,0.999039,0.996618,0.119492,0.585133
6,0.2,4.718,0.996946,0.124388,0.998787,0.995737,0.124463,0.585069
7,0.233333,4.52978,0.996261,0.12963,0.998502,0.994769,0.129727,0.584998
8,0.266667,4.34644,0.995507,0.135182,0.998188,0.993703,0.135304,0.58492
9,0.3,4.168,0.994669,0.141066,0.99785,0.99253,0.141218,0.584829
10,0.333333,3.99444,0.993736,0.147308,0.997483,0.991235,0.147494,0.584726
11,0.366667,3.82578,0.992703,0.153933,0.997079,0.989803,0.154158,0.584616
12,0.4,3.662,0.991563,0.160971,0.996628,0.988219,0.161243,0.584501
13,0.433333,3.50311,0.990304,0.168452,0.996121,0.986463,0.16878,0.584383
14,0.466667,3.34911,0.988908,0.17641,0.995556,0.984514,0.176803,0.584263
15,0.5,3.2,0.987356,0.184881,0.994928,0.982347,0.185352,0.584139
16,0.533333,3.05578,0.985624,0.193904,0.99423,0.979936,0.194466,0.584009
17,0.566667,2.91644,0.98369,0.203521,0.993453,0.97725,0.204191,0.583876
18,0.6,2.782,0.98153,0.213776,0.992585,0.974253,0.214574,0.583741
19,0.633333,2.65244,0.979118,0.224718,0.991612,0.970905,0.225667,0.583606
20,0.666667,2.52778,0.97642,0.236398,0.990518,0.967162,0.237528,0.583472
21,0.7,2.408,0.9734,0.24887,0.989288,0.962973,0.250215,0.583339
22,0.733333,2.29311,0.970015,0.262192,0.987905,0.958283,0.263793,0.583208
23,0.766667,2.18311,0.966216,0.276424,0.98635,0.953027,0.278331,0.583078
24,0.8,2.078,0.961949,0.291631,0.9846,0.947135,0.293903,0.582949
25,0.833333,1.97778,0.957154,0.307876,0.982631,0.940529,0.310586,0.582822
26,0.866667,1.88244,0.951766,0.325229,0.980414,0.933124,0.328463,0.582696
27,0.9,1.792,0.945712,0.343758,0.977916,0.924826,0.347619,0.582572
28,0.933333,1.70644,0.938914,0.363531,0.9751,0.915535,0.368144,0.582451
29,0.966667,1.62578,0.931287,0.384615,0.971927,0.905143,0.390132,0.582333
30,1,1.55,0.922741,0.407075,0.968351,0.893537,0.413675,0.582219
31,1.03333,1.47911,0.913181,0.43097,0.964325,0.880603,0.438871,0.582109
32,1.06667,1.41311,0.902507,0.456351,0.959798,0.866225,0.465812,0.582003
33,1.1,1.352,0.890621,0.48326,0.954718,0.850292,0.494589,0.581903
34,1.13333,1.29578,0.877426,0.511726,0.949028,0.832702,0.52529,0.581806
35,1.16667,1.24444,0.862833,0.54176,0.942674,0.81337,0.557992,0.581714
36,1.2,1.198,0.846763,0.573357,0.9356,0.792231,0.592764,0.581626
37,1.23333,1.15644,0.829154,0.606486,0.927754,0.769251,0.62966,0.581542
38,1.26667,1.11978,0.809969,0.641092,0.91909,0.744435,0.668717,0.581461
39,1.3,1.088,0.789199,0.677091,0.90957,0.717832,0.709955,0.581384
40,1.33333,1.06111,0.766869,0.714373,0.899165,0.689542,0.753368,0.58131
41,1.36667,1.03911,0.743044,0.752797,0.887861,0.65972,0.798927,0.581238
42,1.4,1.022,0.717829,0.792193,0.875658,0.628572,0.846575,0.58117
43,1.43333,1.00978,0.691374,0.832367,0.862576,0.596362,0.896227,0.581103
44,1.46667,1.00244,0.663875,0.873091,0.848655,0.563401,0.947754,0.581041
45,1.5,1,0.636587,0.912652,0.834496,0.531229,0.999067,0.580982
46,1.53333,1.00244,0.60656,0.955407,0.818491,0.496464,1.05605,0.580928
47,1.56667,1.00978,0.577235,0.996558,0.802397,0.463172,1.11252,0.580873
48,1.6,1.022,0.547864,1.03734,0.785781,0.430501,1.17023,0.580822
49,1.63333,1.03911,0.518687,1.07756,0.768739,0.398734,1.229,0.580774
50,1.66667,1.06111,0.489945,1.11703,0.751383,0.368137,1.28865,0.58073
51,1.7,1.088,0.461857,1.1556,0.733824,0.338922,1.349,0.580688
52,1.73333,1.11978,0.434613,1.19311,0.716173,0.311258,1.40985,0.58065
53,1.76667,1.15644,0.408367,1.22945,0.698533,0.285258,1.47103,0.580615
54,1.8,1.198,0.383242,1.26454,0.681,0.260988,1.53236,0.580583
55,1.83333,1.24444,0.359324,1.29832,0.663659,0.238468,1.59371,0.580552
56,1.86667,1.29578,0.336668,1.33073,0.646584,0.217684,1.65492,0.580525
57,1.9,1.352,0.315298,1.36177,0.629838,0.198587,1.71589,0.580499
58,1.93333,1.41311,0.295222,1.39143,0.613474,0.181111,1.77649,0.580477
59,1.96667,1.47911,0.276414,1.41973,0.597529,0.165166,1.83666,0.580454
60,2,1.55,0.258849,1.4467,0.582039,0.15066,1.89628,0.580438
61,2.03333,1.62578,0.242471,1.47237,0.567019,0.137486,1.95533,0.580416
62,2.06667,1.70644,0.227239,1.49678,0.552492,0.125548,2.0137,0.580406
63,2.1,1.792,0.213074,1.52,0.538453,0.11473,2.07143,0.580381
64,2.13333,1.88244,0.19994,1.54203,0.52492,0.104953,2.12837,0.580383
65,2.16667,1.97778,0.187734,1.56303,0.511867,0.096095,2.18469,0.580347
66,2.2,2.078,0.176448,1.58287,0.499323,0.0881047,2.24004,0.580375
67,2.23333,2.18311,0.165938,1.6019,0.487221,0.0808484,2.29494,0.580304
68,2.26667,2.29311,0.156265,1.61971,0.475639,0.0743256,2.34854,0.580394
69,2.3,2.408,0.147189,1.63707,0.464419,0.0683576,2.40222,0.580231
70,2.33333,2.52778,0.13893,1.6529,0.453781,0.063044,2.45372,0.580475
71,2.36667,2.65244,0.131028,1.66906,0.443322,0.0580874,2.50676,0.580071
72,2.4,2.782,0.124051,1.68268,0.433675,0.053798,2.55517,0.58071
73,2.43333,2.91644,0.117024,1.69851,0.423717,0.0495851,2.60934,0.579692
74,2.46667,3.05578,0.111322,1.7089,0.415363,0.0462389,2.65157,0.581324
75,2.5,3.2,0.10475,1.72659,0.405146,0.0424392,2.71258,0.578755
76,2.53333,3.34911,0.100584,1.73028,0.399421,0.0401755,2.73779,0.582875
77,2.56667,3.50311,0.0936571,1.75679,0.385903,0.0361426,2.828,0.576386
78,2.6,3.662,0.0921607,1.73943,0.389896,0.0359331,2.78569,0.587043
79,2.63333,3.82578,0.0817836,1.8148,0.350796,0.0286893,3.06404,0.567826
