iteration,error_rho,error_v,error_T
1,0.0178998,0.0322798,0.0626596
2,0.00908705,0.0209948,0.00627436
3,0.00753527,0.0168068,0.00464573
4,0.00732953,0.0140609,0.00497295
5,0.00769286,0.0123197,0.00577608
6,0.0082017,0.0113443,0.00658755
7,0.00865993,0.0109356,0.00727135
8,0.008971,0.0108922,0.00776899
9,0.00908088,0.0110291,0.00804192
10,0.00895668,0.0112041,0.00806089
11,0.00858133,0.0113285,0.00780883
12,0.00795634,0.0113614,0.00728941
13,0.0071096,0.0112969,0.00653826
14,0.00610079,0.0111605,0.00560866
15,0.00503004,0.0109621,0.00454894
16,0.00412761,0.0107202,0.003568
17,0.00359855,0.0104533,0.00285542
18,0.00350345,0.0101831,0.0025266
19,0.00368758,0.00993214,0.00250886
20,0.00393989,0.00970733,0.00260416
21,0.00413697,0.00950987,0.00266878
22,0.0042401,0.0093376,0.00264899
23,0.00425591,0.00918694,0.00254379
24,0.00420746,0.00905806,0.00237446
25,0.00412082,0.00894597,0.0021685
26,0.00401937,0.0088419,0.00195334
27,0.00391914,0.00874343,0.00175363
28,0.00382931,0.008649,0.00158857
29,0.00375316,0.0085577,0.00146893
30,0.00369022,0.00846908,0.00139586
31,0.00363819,0.00838306,0.00136214
32,0.00359445,0.00829977,0.00135615
33,0.00355622,0.00821901,0.00136641
34,0.00352045,0.00814013,0.00138417
35,0.00348841,0.00806547,0.00140298
36,0.00345948,0.007995,0.00141971
37,0.00343309,0.00792913,0.0014327
38,0.00340881,0.0078664,0.00144148
39,0.0033862,0.00780624,0.00144619
40,0.00336485,0.0077478,0.00144728
41,0.00334439,0.00768991,0.00144534
42,0.00332452,0.0076311,0.00144091
43,0.00330508,0.00756965,0.00143443
44,0.003286,0.00750366,0.00142628
45,0.00326738,0.0074312,0.00141674
46,0.00324957,0.00735054,0.00140603
47,0.00323302,0.00726016,0.00139459
48,0.00321773,0.00715803,0.0013828
49,0.00320384,0.00704319,0.0013713
50,0.00319281,0.00691866,0.0013615
51,0.00318484,0.00678636,0.00135424
52,0.00317978,0.00664954,0.0013501
53,0.00317713,0.00651286,0.00134923
54,0.00317608,0.00638219,0.00135123
55,0.00317557,0.00626429,0.00135528
56,0.00317438,0.00616616,0.00136022
57,0.00317132,0.00609416,0.00136486
58,0.0031653,0.00605318,0.00136811
59,0.00315544,0.00604547,0.00136917
60,0.00314115,0.0060702,0.00136757
61,0.00312212,0.00612338,0.0013632
62,0.00309832,0.00619843,0.00135622
63,0.00306998,0.00628707,0.00134697
64,0.00303752,0.00638038,0.00133591
65,0.00300156,0.00646985,0.00132352
66,0.00296281,0.00654813,0.00131023
67,0.00292208,0.0066095,0.0012964
68,0.00288023,0.00665011,0.00128233
69,0.00283809,0.00666799,0.0012682
70,0.00279645,0.00666256,0.00125417
71,0.00275606,0.00663473,0.00124037
72,0.00271759,0.00658627,0.00122686
73,0.00268163,0.00651974,0.00121375
74,0.00264863,0.00643805,0.00120112
75,0.00261894,0.00634422,0.00118907
76,0.00259278,0.00624112,0.00117768
77,0.00257026,0.00613134,0.00116708
78,0.00255139,0.00601712,0.00115733
79,0.00253608,0.00590034,0.00114852
80,0.00252419,0.00578254,0.00114071
81,0.00251551,0.00566495,0.00113394
82,0.00250985,0.0055486,0.00112825
83,0.00250701,0.00543433,0.00112369
84,0.00250679,0.00532289,0.00112033
85,0.00250907,0.00521494,0.00111829
86,0.00251376,0.00511109,0.00111771
87,0.00252083,0.00501184,0.00111879
88,0.0025303,0.00491759,0.00112176
89,0.00254222,0.0048286,0.00112687
90,0.00255666,0.00474499,0.0011344
91,0.00257362,0.00466674,0.0011446
92,0.0025931,0.0045937,0.00115765
93,0.00261496,0.00452563,0.00117371
94,0.00263897,0.00446233,0.00119271
95,0.00266468,0.00440361,0.00121438
96,0.00269153,0.00434935,0.00123833
97,0.00271879,0.00429949,0.00126399
98,0.00274559,0.00425408,0.00129062
99,0.00277097,0.00421325,0.00131731
100,0.00279396,0.00417715,0.00134301
101,0.0028136,0.00414593,0.00136664
102,0.00282908,0.00411965,0.00138708
103,0.00283973,0.00409826,0.00140334
104,0.00284519,0.00408161,0.00141464
105,0.00284538,0.00406943,0.00142047
106,0.00284051,0.00406134,0.00142071
107,0.00283109,0.0040569,0.00141563
108,0.00281788,0.00405565,0.00140593
109,0.00280175,0.00405707,0.00139264
110,0.0027836,0.00406067,0.00137705
111,0.00276429,0.00406594,0.00136048
112,0.00274448,0.00407239,0.00134416
113,0.00272461,0.00407953,0.00132904
114,0.00270489,0.00408688,0.00131568
115,0.00268529,0.00409401,0.00130422
116,0.00266564,0.00410054,0.00129442
117,0.00264569,0.00410616,0.00128576
118,0.00262515,0.00411062,0.00127762
119,0.00260381,0.00411379,0.00126943
120,0.00258155,0.00411564,0.00126075
121,0.00255833,0.00411619,0.00125139
122,0.00253422,0.00411554,0.00124135
123,0.00250931,0.00411384,0.00123082
124,0.00248376,0.00411125,0.00122008
125,0.00245764,0.0041079,0.00120944
126,0.00243102,0.00410392,0.00119914
127,0.00240394,0.00409936,0.00118932
128,0.00237642,0.00409424,0.00117999
129,0.00234849,0.00408851,0.00117109
130,0.00232026,0.00408203,0.00116249
131,0.0022919,0.00407461,0.00115404
132,0.00226369,0.00406601,0.00114566
133,0.00223599,0.00405594,0.00113732
134,0.00220926,0.00404407,0.00112906
135,0.00218401,0.00403007,0.00112098
136,0.00216074,0.00401364,0.00111323
137,0.00213995,0.00399451,0.00110596
138,0.00212204,0.00397246,0.00109928
139,0.00210733,0.00394736,0.00109329
140,0.00209599,0.00391915,0.00108805
141,0.00208811,0.0038879,0.00108356
142,0.00208361,0.00385376,0.00107984
143,0.00208233,0.00381699,0.00107687
144,0.00208401,0.00377794,0.00107462
145,0.00208811,0.00373664,0.00107342
146,0.00209402,0.00369319,0.00107355
147,0.00210161,0.00364863,0.00107449
148,0.00211049,0.00360356,0.00107617
149,0.00212033,0.00355855,0.00107854
150,0.00213085,0.0035141,0.00108155
151,0.00214189,0.00347065,0.00108518
152,0.00215335,0.00342856,0.00108944
153,0.00216522,0.0033881,0.00109437
154,0.00217757,0.00334945,0.00110005
155,0.00219051,0.00331269,0.00110657
156,0.00220416,0.00327787,0.00111404
157,0.00221866,0.00324496,0.00112252
158,0.00223409,0.00321392,0.00113204
159,0.00225051,0.00318465,0.00114257
160,0.00226796,0.00315709,0.00115403
161,0.00228641,0.00313114,0.00116628
162,0.00230581,0.00310673,0.00117916
163,0.00232609,0.00308378,0.0011925
164,0.00234718,0.00306221,0.00120614
165,0.00236899,0.00304196,0.00121991
166,0.00239147,0.00302293,0.00123371
167,0.00241456,0.00300505,0.00124745
168,0.0024382,0.00298822,0.00126111
169,0.00246236,0.00297234,0.00127466
170,0.00248698,0.00295731,0.00128813
171,0.00251202,0.00294303,0.00130155
172,0.00253739,0.00292944,0.00131497
173,0.00256303,0.00291648,0.00132842
174,0.00258884,0.00290416,0.00134193
175,0.00261471,0.00289248,0.00135553
176,0.00264052,0.00288154,0.00136922
177,0.00266616,0.00287145,0.00138298
178,0.00269151,0.00286237,0.00139679
179,0.00271651,0.00285448,0.00141062
180,0.00274107,0.00284801,0.00142442
181,0.0027652,0.00284318,0.00143819
182,0.0027889,0.00284022,0.0014519
183,0.00281225,0.00283933,0.00146559
184,0.00283535,0.00284071,0.0014793
185,0.00285838,0.00284451,0.00149311
186,0.00288152,0.00285088,0.00150714
187,0.00290508,0.00286008,0.00152156
188,0.00292939,0.00287295,0.00153653
189,0.00295424,0.00288807,0.00155222
190,0.00298,0.00290545,0.00156898
191,0.00300707,0.00292518,0.00158718
192,0.00303585,0.0029474,0.00160712
193,0.00306679,0.00297237,0.00162916
194,0.00310038,0.00300038,0.00165376
195,0.00313723,0.00303178,0.00168152
196,0.00317805,0.00306707,0.00171318
197,0.00322375,0.00310681,0.00174965
198,0.00327542,0.00315177,0.00179203
199,0.00333445,0.00320288,0.00184175
200,0.00340262,0.00326134,0.00190058
