iteration,error_rho,error_v,error_T
1,0.0106758,0.0103828,0.015136
2,0.00627549,0.00664778,0.00545541
3,0.00503544,0.00552463,0.00318042
4,0.00423659,0.00484267,0.00205313
5,0.00368092,0.00439054,0.0014024
6,0.00326963,0.00406479,0.000978762
7,0.00294996,0.00381308,0.00069939
8,0.00269265,0.00360899,0.000549256
9,0.00248101,0.00343937,0.000515017
10,0.00230521,0.00329744,0.000547095
11,0.00215901,0.00317903,0.00059462
12,0.00203799,0.00308093,0.00063273
13,0.00193846,0.00300022,0.000654529
14,0.00185698,0.0029341,0.000660945
15,0.00179006,0.00287994,0.000655724
16,0.00173431,0.00283528,0.000643206
17,0.0016866,0.00279799,0.000627321
18,0.00164433,0.0027663,0.000611149
19,0.00160562,0.00273892,0.000596794
20,0.00156943,0.00271501,0.000585421
21,0.00153542,0.0026941,0.00057742
22,0.00150393,0.00267593,0.000572628
23,0.00147568,0.00266032,0.000570537
24,0.00145161,0.00264705,0.000570489
25,0.00143265,0.00263571,0.000571812
26,0.00141955,0.00262574,0.000573922
27,0.00141278,0.00261649,0.000576379
28,0.00141243,0.00260734,0.0005789
29,0.00141827,0.00259775,0.00058135
30,0.00142973,0.00258736,0.00058372
31,0.00144601,0.00257602,0.000586089
32,0.00146618,0.00256375,0.000588588
33,0.00148924,0.00255066,0.000591363
34,0.00151423,0.00253699,0.000594551
35,0.00154027,0.00252295,0.000598259
36,0.00156659,0.00250874,0.000602551
37,0.00159254,0.00249453,0.000607445
38,0.00161756,0.00248043,0.000612904
39,0.0016412,0.00246654,0.000618848
40,0.00166304,0.00245296,0.000625147
41,0.00168271,0.00243981,0.000631635
42,0.00169982,0.00242727,0.000638117
43,0.001714,0.00241557,0.000644382
44,0.00172488,0.00240505,0.000650223
45,0.00173213,0.00239612,0.000655458
46,0.00173548,0.00238924,0.000659941
47,0.00173474,0.00238486,0.000663583
48,0.00172985,0.00238341,0.000666353
49,0.00172088,0.00238525,0.000668283
50,0.00170804,0.00239054,0.000669452
51,0.00169166,0.0023993,0.000669977
52,0.00167217,0.0024114,0.000669995
53,0.00165008,0.00242651,0.00066964
54,0.00162591,0.00244417,0.000669032
55,0.00160018,0.00246379,0.000668259
56,0.00157335,0.00248477,0.000667377
57,0.00154583,0.0025065,0.000666401
58,0.00151793,0.00252835,0.000665316
59,0.0014899,0.00254979,0.000664077
60,0.0014619,0.00257038,0.000662624
61,0.00143404,0.00258983,0.000660891
62,0.00140639,0.00260796,0.000658813
63,0.00137898,0.00262474,0.000656333
64,0.00135186,0.00264037,0.000653412
65,0.00132505,0.00265519,0.000650026
66,0.00129859,0.00266975,0.000646166
67,0.00127253,0.00268471,0.000641837
68,0.00124691,0.00270087,0.000637054
69,0.00122178,0.00271914,0.000631839
70,0.00119719,0.00274039,0.000626218
71,0.00117315,0.00276537,0.000620216
72,0.00114968,0.00279471,0.000613858
73,0.0011268,0.0028288,0.000607172
74,0.0011045,0.00286773,0.00060019
75,0.00108278,0.00291125,0.000592948
76,0.00106167,0.00295886,0.000585493
77,0.0010412,0.00300982,0.000577881
78,0.00102141,0.00306321,0.000570179
79,0.00100239,0.00311804,0.00056246
80,0.00098421,0.00317335,0.000554805
81,0.000966961,0.00322831,0.000547299
82,0.000950734,0.00328225,0.000540024
83,0.000935603,0.00333473,0.000533056
84,0.000921625,0.00338549,0.00052646
85,0.000908832,0.00343455,0.000520285
86,0.000897228,0.00348209,0.000514567
87,0.000886785,0.00352843,0.000509318
88,0.000877441,0.00357394,0.000504533
89,0.000869118,0.00361905,0.00050019
90,0.000861715,0.00366417,0.000496249
91,0.000855124,0.0037096,0.000492659
92,0.000849232,0.00375551,0.000489357
93,0.000843937,0.00380189,0.000486279
94,0.000839159,0.00384852,0.000483362
95,0.000834851,0.00389492,0.000480556
96,0.000831008,0.00394024,0.000477825
97,0.000827683,0.00398331,0.000475165
98,0.000824994,0.00402258,0.000472602
99,0.000823126,0.00405614,0.000470205
100,0.000822326,0.00408176,0.000468086
101,0.000822889,0.00409694,0.000466397
102,0.000825136,0.00409911,0.000465323
103,0.000829371,0.00408577,0.000465068
104,0.000835836,0.00405471,0.000465831
105,0.000844659,0.00400422,0.000467776
106,0.000855805,0.0039334,0.000471007
107,0.000869047,0.00384241,0.000475533
108,0.000883945,0.00373277,0.000481254
109,0.000899854,0.00360759,0.000487942
110,0.000915951,0.00347169,0.000495252
111,0.000931288,0.00333176,0.000502736
112,0.000944854,0.00319608,0.000509873
113,0.000955646,0.00307392,0.000516101
114,0.000962754,0.00297445,0.000520868
115,0.00096544,0.00290527,0.000523695
116,0.000963204,0.00287069,0.000524216
117,0.000955867,0.0028707,0.000522229
118,0.000943634,0.00290079,0.000517751
119,0.000927141,0.00295286,0.00051106
120,0.000907494,0.00301702,0.000502728
121,0.000886234,0.00308295,0.000493631
122,0.000865299,0.00314129,0.000484924
123,0.000846848,0.00318437,0.000477926
124,0.000833015,0.00320642,0.000473963
125,0.000825579,0.00320364,0.000474131
126,0.000825609,0.00317409,0.000479047
127,0.000833218,0.00311761,0.000488676
128,0.000847508,0.00303579,0.000502293
129,0.000866728,0.00293195,0.000518606
130,0.000888593,0.0028111,0.000535974
131,0.000910645,0.00267992,0.000552643
132,0.000930562,0.00254652,0.000566958
133,0.000946391,0.00242,0.000577516
134,0.000956675,0.00230953,0.000583244
135,0.000960558,0.00222318,0.000583451
136,0.00095788,0.0021659,0.000578081
137,0.000949079,0.00213852,0.000567568
138,0.000935161,0.00213754,0.000552885
139,0.000917604,0.00215627,0.000535514
140,0.000898218,0.00218674,0.00051736
141,0.000878948,0.00222163,0.000500586
142,0.000861638,0.00225566,0.000487332
143,0.000847758,0.00228633,0.000479335
144,0.000838202,0.00231412,0.000477531
145,0.000833152,0.002342,0.00048182
146,0.000832093,0.00237473,0.000491116
147,0.000833972,0.00241776,0.000503665
148,0.000837443,0.00247601,0.000517455
149,0.000841139,0.0025527,0.00053058
150,0.000843911,0.00264855,0.000541481
151,0.000844992,0.00276169,0.000549074
152,0.000844098,0.00288807,0.000552786
153,0.000841445,0.0030222,0.000552552
154,0.000837712,0.0031581,0.000548769
155,0.000833942,0.00328989,0.000542233
156,0.000831402,0.0034124,0.00053403
157,0.000831398,0.00352131,0.000525477
158,0.000835054,0.00361333,0.000517944
159,0.000843106,0.00368621,0.000512646
160,0.000855779,0.00373876,0.000510459
161,0.000872764,0.00377079,0.000511784
162,0.000893286,0.00378301,0.000516492
163,0.000916249,0.00377698,0.000523987
164,0.000940418,0.00375501,0.000533341
165,0.000964576,0.00371999,0.000543484
166,0.00098767,0.00367526,0.000553371
167,0.00100889,0.00362452,0.000562117
168,0.00102771,0.00357127,0.000569077
169,0.00104391,0.00351843,0.000573897
170,0.00105757,0.00346814,0.00057652
171,0.001069,0.00342153,0.00057716
172,0.00107867,0.0033787,0.000576251
173,0.00108714,0.00333881,0.00057438
174,0.00109498,0.00330036,0.000572201
175,0.00110267,0.00326165,0.000570339
176,0.00111061,0.00322102,0.000569318
177,0.00111901,0.00317732,0.000569486
178,0.00112794,0.00313016,0.000570989
179,0.00113732,0.00307981,0.000573773
180,0.00114702,0.00302723,0.000577633
181,0.00115681,0.00297377,0.000582268
182,0.00116651,0.00292096,0.000587351
183,0.00117595,0.00287018,0.000592589
184,0.00118503,0.00282247,0.000597765
185,0.00119371,0.00277837,0.000602757
186,0.00120199,0.0027379,0.000607536
187,0.00120989,0.0027007,0.000612144
188,0.00121744,0.00266631,0.00061667
189,0.00122459,0.00263439,0.000621206
190,0.00123128,0.00260513,0.000625826
191,0.00123735,0.00257942,0.000630553
192,0.0012426,0.00255887,0.000635357
193,0.00124679,0.00254573,0.000640148
194,0.00124967,0.0025426,0.00064479
195,0.00125099,0.00255197,0.000649121
196,0.00125056,0.00257575,0.000652969
197,0.00124827,0.00261492,0.000656181
198,0.0012441,0.00266924,0.000658636
