iteration,error_rho,error_v,error_T
1,0.0179403,0.0462665,0.0921907
2,0.00967234,0.0252822,0.00746353
3,0.00903806,0.0201405,0.00666998
4,0.00939827,0.0169625,0.00726173
5,0.0101878,0.0149612,0.00834013
6,0.0110286,0.0136896,0.00947756
7,0.0117575,0.0129024,0.0105092
8,0.0122908,0.0124413,0.0113434
9,0.012575,0.0121796,0.0119083
10,0.0125694,0.0120136,0.012139
11,0.012242,0.0118687,0.0119791
12,0.0115738,0.0117019,0.011392
13,0.0105684,0.0114976,0.0103778
14,0.00926821,0.011272,0.00898749
15,0.00774912,0.0110196,0.00731667
16,0.00618027,0.010756,0.0055568
17,0.00480207,0.0104926,0.00395106
18,0.00388299,0.0102396,0.00277893
19,0.00357744,0.0100091,0.00230729
20,0.00372156,0.00980159,0.00243082
21,0.00400926,0.00961545,0.00272591
22,0.00425335,0.0094485,0.00294769
23,0.00439456,0.00929826,0.0030372
24,0.00443693,0.00916221,0.00300667
25,0.00440655,0.00903795,0.00288826
26,0.00433226,0.00892322,0.00271565
27,0.00423786,0.00881605,0.00251772
28,0.00413998,0.00871479,0.00231678
29,0.0040485,0.0086182,0.00212856
30,0.00396804,0.00852546,0.00196289
31,0.00389969,0.00843615,0.00182454
32,0.00384265,0.00835019,0.0017141
33,0.00379645,0.00826794,0.00162702
34,0.00375802,0.00818918,0.00156141
35,0.00372559,0.00811401,0.00151338
36,0.00369783,0.00804239,0.00147961
37,0.00367379,0.00797409,0.00145785
38,0.00365291,0.00790863,0.00144692
39,0.00363483,0.00784528,0.00144643
40,0.00361926,0.00778305,0.00145621
41,0.00360577,0.00772067,0.00147578
42,0.00359377,0.00765662,0.00150388
43,0.0035824,0.00758919,0.00153831
44,0.00357061,0.00751656,0.00157609
45,0.00355735,0.00743696,0.00161367
46,0.00354181,0.00734879,0.0016474
47,0.003523,0.00725066,0.00167458
48,0.00350004,0.00714088,0.00169282
49,0.00347261,0.00701888,0.00170059
50,0.00344178,0.00688806,0.00169835
51,0.00340932,0.00675098,0.00168727
52,0.00337647,0.0066115,0.00166889
53,0.00334446,0.00647478,0.00164527
54,0.00331437,0.00634717,0.00161873
55,0.00328695,0.00623562,0.00159145
56,0.00326251,0.00614701,0.00156526
57,0.00324093,0.00608714,0.0015414
58,0.00322169,0.00605982,0.00152049
59,0.00320395,0.00606591,0.00150254
60,0.00318668,0.00610309,0.00148716
61,0.00316896,0.00616606,0.00147357
62,0.00314989,0.00624729,0.00146093
63,0.00312883,0.00633801,0.00144837
64,0.00310531,0.00642935,0.0014352
65,0.0030791,0.00651321,0.0014209
66,0.00305024,0.00658293,0.00140515
67,0.00301901,0.00663363,0.0013878
68,0.00298586,0.00666238,0.00136892
69,0.00295136,0.00666781,0.00134881
70,0.00291629,0.00665015,0.00132787
71,0.00288148,0.00661068,0.00130675
72,0.00284782,0.00655161,0.00128627
73,0.00281616,0.00647568,0.0012674
74,0.00278728,0.00638589,0.00125116
75,0.00276182,0.00628519,0.00123853
76,0.00274024,0.00617632,0.00123038
77,0.00272278,0.00606174,0.00122725
78,0.00270942,0.0059435,0.00122934
79,0.00269991,0.00582333,0.00123639
80,0.0026938,0.00570265,0.00124774
81,0.00269046,0.00558262,0.00126239
82,0.00268919,0.00546424,0.00127908
83,0.00268928,0.0053484,0.00129648
84,0.00269007,0.00523592,0.00131331
85,0.00269101,0.00512758,0.00132839
86,0.00269171,0.0050241,0.0013408
