n,x,area,density,velocity,temperature,pressure,mach,mass_flow
80,2.66667,3.99444,0.681103,0.227029,0.973844,0.663288,0.230072,0.617663
81,2.7,4.168,0.684097,0.217165,0.972668,0.665399,0.220187,0.619206
82,2.73333,4.34644,0.682142,0.20781,0.978408,0.667413,0.210081,0.616133
83,2.76667,4.52978,0.684359,0.198998,0.977908,0.66924,0.201237,0.616893
84,2.8,4.718,0.685594,0.190702,0.978618,0.670934,0.192765,0.616852
85,2.83333,4.91111,0.683424,0.182884,0.983937,0.672446,0.184353,0.613828
86,2.86667,5.10911,0.681097,0.175539,0.989374,0.673859,0.176461,0.610841
87,2.9,5.312,0.677954,0.168558,0.995789,0.675099,0.168904,0.607028
88,2.93333,5.51978,0.678275,0.162047,0.997105,0.676311,0.162293,0.606693
89,2.96667,5.73244,0.684352,0.155769,0.989702,0.677304,0.156597,0.611084
90,3,5.95,0.689671,0.150067,0.983658,0.6784,0.151336,0.615808
