n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.0333333,5.73244,0.999621,0.101655,0.999848,0.999469,0.101663,0.582513
2,0.0666667,5.51978,0.999205,0.105616,0.999682,0.998887,0.105633,0.582512
3,0.1,5.312,0.99875,0.109796,0.9995,0.99825,0.109824,0.582509
4,0.133333,5.10911,0.998249,0.114213,0.9993,0.997551,0.114253,0.582505
5,0.166667,4.91111,0.9977,0.118882,0.999081,0.996783,0.118937,0.582499
6,0.2,4.718,0.997097,0.123821,0.998838,0.995938,0.123893,0.582494
7,0.233333,4.52978,0.996432,0.129051,0.99857,0.995007,0.129144,0.582487
8,0.266667,4.34644,0.995698,0.134592,0.998275,0.99398,0.134708,0.582479
9,0.3,4.168,0.994885,0.140467,0.99795,0.992845,0.140611,0.58247
10,0.333333,3.99444,0.993984,0.1467,0.997592,0.99159,0.146877,0.582459
11,0.366667,3.82578,0.992987,0.153318,0.997194,0.9902,0.153534,0.582448
12,0.4,3.662,0.991882,0.160351,0.99675,0.988658,0.160612,0.582438
13,0.433333,3.50311,0.990656,0.167828,0.996255,0.986946,0.168144,0.582428
14,0.466667,3.34911,0.989293,0.175784,0.995703,0.985041,0.176163,0.582418
15,0.5,3.2,0.987774,0.184255,0.995087,0.982921,0.18471,0.582408
16,0.533333,3.05578,0.986077,0.19328,0.994401,0.980557,0.193823,0.582397
17,0.566667,2.91644,0.984181,0.2029,0.993636,0.977918,0.203548,0.582385
18,0.6,2.782,0.982058,0.21316,0.992782,0.974969,0.213934,0.582371
19,0.633333,2.65244,0.979681,0.224109,0.991824,0.971671,0.225031,0.582358
20,0.666667,2.52778,0.977016,0.235797,0.99075,0.967979,0.236895,0.582344
21,0.7,2.408,0.974029,0.24828,0.989541,0.963841,0.249589,0.582331
22,0.733333,2.29311,0.970676,0.261614,0.98818,0.959202,0.263174,0.582318
23,0.766667,2.18311,0.966911,0.275861,0.986645,0.953998,0.277721,0.582307
24,0.8,2.078,0.96268,0.291083,0.984915,0.948158,0.293304,0.582296
25,0.833333,1.97778,0.957925,0.307347,0.982962,0.941604,0.309999,0.582288
26,0.866667,1.88244,0.952578,0.324719,0.980761,0.934251,0.327889,0.582279
27,0.9,1.792,0.946567,0.34327,0.978276,0.926004,0.347061,0.582271
28,0.933333,1.70644,0.939812,0.363066,0.975473,0.916762,0.367603,0.582263
29,0.966667,1.62578,0.932228,0.384176,0.972312,0.906417,0.389608,0.582256
30,1,1.55,0.923724,0.406663,0.96875,0.894857,0.41317,0.582248
31,1.03333,1.47911,0.914202,0.430586,0.964739,0.881966,0.438384,0.58224
32,1.06667,1.41311,0.903565,0.455996,0.960229,0.867629,0.465344,0.582233
33,1.1,1.352,0.891711,0.482936,0.955167,0.851733,0.49414,0.582225
34,1.13333,1.29578,0.878548,0.511434,0.949494,0.834176,0.52486,0.582218
35,1.16667,1.24444,0.86398,0.541501,0.943161,0.814873,0.557579,0.582208
36,1.2,1.198,0.847937,0.573129,0.936105,0.793758,0.592367,0.582201
37,1.23333,1.15644,0.830348,0.606289,0.928284,0.770799,0.629273,0.58219
38,1.26667,1.11978,0.811189,0.640923,0.919637,0.746,0.668341,0.582184
39,1.3,1.088,0.790434,0.676946,0.910148,0.719412,0.709575,0.582168
40,1.33333,1.06111,0.768137,0.714243,0.899758,0.691138,0.75298,0.582165
41,1.36667,1.03911,0.744334,0.75266,0.888501,0.661342,0.798491,0.582142
42,1.4,1.022,0.719196,0.792013,0.876321,0.630246,0.84606,0.582144
43,1.43333,1.00978,0.692859,0.832015,0.86336,0.598187,0.895438,0.582105
44,1.46667,1.00244,0.665899,0.872056,0.849672,0.565796,0.946061,0.582121
45,1.5,1,0.644456,0.903176,0.838688,0.540497,0.986217,0.582057
46,1.53333,1.00244,0.605411,0.959091,0.8178,0.495105,1.06058,0.582064
47,1.56667,1.00978,0.574029,1.00339,0.800752,0.459655,1.12128,0.581605
48,1.6,1.022,0.550985,1.03443,0.787463,0.43388,1.16569,0.582497
49,1.63333,1.03911,0.517894,1.08084,0.76844,0.397971,1.23299,0.581656
50,1.66667,1.06111,0.492588,1.11468,0.752852,0.370846,1.28468,0.582632
51,1.7,1.088,0.460893,1.15941,0.733431,0.338033,1.35382,0.581389
52,1.73333,1.11978,0.437064,1.19084,0.717578,0.313628,1.40578,0.582813
53,1.76667,1.15644,0.407157,1.234,0.697995,0.284193,1.47703,0.581034
54,1.8,1.198,0.38607,1.26116,0.682715,0.263576,1.52632,0.5833
55,1.83333,1.24444,0.357675,1.30414,0.662808,0.23707,1.60189,0.580483
56,1.86667,1.29578,0.340224,1.32514,0.648944,0.220786,1.64495,0.584192
57,1.9,1.352,0.312756,1.37035,0.628169,0.196464,1.72902,0.57945
58,1.93333,1.41311,0.29998,1.38173,0.617176,0.185141,1.75877,0.585722
59,1.96667,1.47911,0.272259,1.43419,0.593777,0.161661,1.86127,0.577548
