n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.0333333,5.73244,0.999619,0.101569,0.999847,0.999466,0.101577,0.582019
2,0.0666667,5.51978,0.999201,0.105527,0.99968,0.998882,0.105544,0.582019
3,0.1,5.312,0.998744,0.109704,0.999498,0.998242,0.109732,0.582018
4,0.133333,5.10911,0.998242,0.114118,0.999297,0.99754,0.114158,0.582017
5,0.166667,4.91111,0.997691,0.118784,0.999075,0.996769,0.118839,0.582017
6,0.2,4.718,0.997086,0.123721,0.998831,0.995921,0.123794,0.582016
7,0.233333,4.52978,0.996418,0.128948,0.998564,0.994987,0.129041,0.582015
8,0.266667,4.34644,0.99568,0.134487,0.99827,0.993957,0.134603,0.582013
9,0.3,4.168,0.994864,0.140359,0.997945,0.992819,0.140503,0.58201
10,0.333333,3.99444,0.993963,0.146589,0.997584,0.991561,0.146767,0.582008
11,0.366667,3.82578,0.992966,0.153205,0.997182,0.990168,0.153422,0.582007
12,0.4,3.662,0.991862,0.160235,0.996735,0.988624,0.160498,0.582007
13,0.433333,3.50311,0.990635,0.167711,0.996238,0.986908,0.168027,0.582007
14,0.466667,3.34911,0.989269,0.175664,0.995686,0.985001,0.176045,0.582007
15,0.5,3.2,0.987745,0.184133,0.995073,0.982878,0.184588,0.582005
16,0.533333,3.05578,0.986043,0.193155,0.99439,0.980512,0.1937,0.582002
17,0.566667,2.91644,0.984142,0.202773,0.993628,0.977871,0.203423,0.582
18,0.6,2.782,0.982017,0.213032,0.992773,0.97492,0.213806,0.581997
19,0.633333,2.65244,0.97964,0.223979,0.991814,0.971621,0.224901,0.581996
20,0.666667,2.52778,0.976978,0.235666,0.990735,0.967926,0.236765,0.581996
21,0.7,2.408,0.973994,0.248147,0.989522,0.963788,0.249457,0.581997
22,0.733333,2.29311,0.970644,0.261479,0.988155,0.959148,0.263042,0.581999
23,0.766667,2.18311,0.966882,0.275725,0.986617,0.953943,0.277588,0.582003
24,0.8,2.078,0.962654,0.290946,0.984884,0.948102,0.29317,0.582006
