n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.0333333,5.73244,0.999725,0.100384,0.999894,0.999619,0.100389,0.575286
2,0.0666667,5.51978,0.999438,0.104288,0.999768,0.999206,0.1043,0.575323
3,0.1,5.312,0.999103,0.108425,0.999627,0.99873,0.108446,0.575439
4,0.133333,5.10911,0.998717,0.112796,0.999488,0.998205,0.112825,0.57555
5,0.166667,4.91111,0.998279,0.117429,0.99933,0.99761,0.117468,0.575713
6,0.2,4.718,0.997806,0.122333,0.999139,0.996947,0.122385,0.575901
7,0.233333,4.52978,0.997279,0.127534,0.998916,0.996199,0.127603,0.576131
8,0.266667,4.34644,0.996681,0.13305,0.998676,0.995362,0.133138,0.576376
9,0.3,4.168,0.996001,0.138906,0.998412,0.99442,0.139016,0.576647
10,0.333333,3.99444,0.995242,0.145126,0.998112,0.993363,0.145262,0.576938
11,0.366667,3.82578,0.994397,0.151736,0.997765,0.992174,0.151906,0.577256
12,0.4,3.662,0.993448,0.158766,0.997372,0.990838,0.158974,0.577592
13,0.433333,3.50311,0.992374,0.166247,0.996937,0.989335,0.166501,0.57794
14,0.466667,3.34911,0.991157,0.174212,0.996455,0.987643,0.174521,0.578296
15,0.5,3.2,0.989784,0.182698,0.995913,0.985738,0.183072,0.578662
16,0.533333,3.05578,0.988241,0.191745,0.995297,0.983593,0.192196,0.579039
17,0.566667,2.91644,0.986508,0.201393,0.994594,0.981176,0.201938,0.579426
18,0.6,2.782,0.984558,0.211688,0.993797,0.97845,0.212346,0.579821
19,0.633333,2.65244,0.982355,0.222678,0.992896,0.975377,0.223471,0.580218
20,0.666667,2.52778,0.979864,0.234414,0.991882,0.971909,0.23537,0.580615
21,0.7,2.408,0.977044,0.246951,0.99074,0.967997,0.248101,0.581007
22,0.733333,2.29311,0.973854,0.260346,0.989452,0.963582,0.261729,0.581394
23,0.766667,2.18311,0.970249,0.274661,0.987993,0.958599,0.276323,0.581776
24,0.8,2.078,0.966177,0.289958,0.986339,0.952978,0.291957,0.582154
25,0.833333,1.97778,0.96158,0.306304,0.984461,0.946638,0.308709,0.582525
26,0.866667,1.88244,0.956391,0.323765,0.98233,0.939492,0.326661,0.582891
27,0.9,1.792,0.950536,0.342411,0.979914,0.931444,0.345899,0.583249
28,0.933333,1.70644,0.943935,0.36231,0.977178,0.922392,0.366513,0.583598
29,0.966667,1.62578,0.936498,0.383528,0.974082,0.912226,0.388594,0.583936
30,1,1.55,0.928132,0.406131,0.970584,0.90083,0.412236,0.584262
31,1.03333,1.47911,0.918739,0.430177,0.966636,0.888086,0.437534,0.584575
32,1.06667,1.41311,0.908217,0.455718,0.962188,0.873876,0.464582,0.584874
33,1.1,1.352,0.896467,0.482795,0.957186,0.858086,0.493469,0.585159
34,1.13333,1.29578,0.88339,0.511436,0.951574,0.840611,0.524283,0.585429
