n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.0333333,5.73244,0.999623,0.101429,0.999849,0.999472,0.101437,0.581219
2,0.0666667,5.51978,0.99921,0.105381,0.999684,0.998894,0.105398,0.581221
3,0.1,5.312,0.998757,0.109554,0.999502,0.99826,0.109582,0.58123
4,0.133333,5.10911,0.998261,0.113963,0.999303,0.997565,0.114003,0.58124
5,0.166667,4.91111,0.997715,0.118626,0.999084,0.996801,0.11868,0.581252
6,0.2,4.718,0.997111,0.123559,0.998845,0.99596,0.12363,0.581265
7,0.233333,4.52978,0.996447,0.128782,0.998581,0.995033,0.128874,0.581281
8,0.266667,4.34644,0.995716,0.134317,0.998287,0.99401,0.134432,0.5813
9,0.3,4.168,0.99491,0.140186,0.99796,0.99288,0.14033,0.581322
10,0.333333,3.99444,0.994018,0.146415,0.997598,0.99163,0.146591,0.581347
11,0.366667,3.82578,0.993028,0.153029,0.997198,0.990245,0.153243,0.581372
12,0.4,3.662,0.991926,0.160057,0.996757,0.988709,0.160317,0.581396
13,0.433333,3.50311,0.990698,0.167531,0.99627,0.987003,0.167844,0.581421
14,0.466667,3.34911,0.989333,0.175484,0.995726,0.985105,0.17586,0.581446
15,0.5,3.2,0.987813,0.183952,0.995118,0.982991,0.184403,0.581474
16,0.533333,3.05578,0.98612,0.192975,0.994436,0.980634,0.193514,0.581504
17,0.566667,2.91644,0.984232,0.202593,0.993671,0.978003,0.203238,0.581536
18,0.6,2.782,0.982122,0.212853,0.992812,0.975062,0.213622,0.58157
19,0.633333,2.65244,0.979758,0.223802,0.99185,0.971773,0.224719,0.581605
20,0.666667,2.52778,0.977107,0.235491,0.99077,0.968089,0.236585,0.58164
21,0.7,2.408,0.974132,0.247974,0.98956,0.963961,0.249279,0.581675
22,0.733333,2.29311,0.970788,0.26131,0.988199,0.959332,0.262866,0.581709
23,0.766667,2.18311,0.96703,0.275559,0.986669,0.954138,0.277414,0.581742
24,0.8,2.078,0.962804,0.290785,0.984945,0.948309,0.292998,0.581775
25,0.833333,1.97778,0.958052,0.307052,0.983001,0.941766,0.309696,0.581807
26,0.866667,1.88244,0.952709,0.32443,0.980807,0.934424,0.327589,0.58184
27,0.9,1.792,0.946702,0.342986,0.978331,0.926188,0.346763,0.581872
28,0.933333,1.70644,0.939952,0.362789,0.975536,0.916958,0.367309,0.581905
29,0.966667,1.62578,0.932374,0.383906,0.972383,0.906624,0.389319,0.581937
30,1,1.55,0.923876,0.406401,0.968826,0.895076,0.412887,0.58197
31,1.03333,1.47911,0.914362,0.430334,0.96482,0.882195,0.438109,0.582002
32,1.06667,1.41311,0.903733,0.455755,0.960314,0.867867,0.465077,0.582034
33,1.1,1.352,0.891888,0.482708,0.955254,0.85198,0.493883,0.582065
34,1.13333,1.29578,0.878731,0.511219,0.949585,0.83443,0.524614,0.582095
35,1.16667,1.24444,0.864171,0.541302,0.943251,0.815131,0.557347,0.582124
36,1.2,1.198,0.84813,0.57295,0.936198,0.794018,0.592151,0.582152
37,1.23333,1.15644,0.830545,0.606133,0.928373,0.771056,0.62908,0.582178
38,1.26667,1.11978,0.811379,0.640794,0.919729,0.746249,0.668172,0.582202
39,1.3,1.088,0.790621,0.676853,0.910227,0.719645,0.709445,0.582226
40,1.33333,1.06111,0.768297,0.714196,0.899839,0.691344,0.752895,0.582247
41,1.36667,1.03911,0.74447,0.752684,0.88855,0.661498,0.798493,0.582266
42,1.4,1.022,0.719246,0.792149,0.87636,0.630318,0.846184,0.582284
43,1.43333,1.00978,0.692772,0.832398,0.863285,0.59806,0.895887,0.5823
44,1.46667,1.00244,0.665241,0.873209,0.849369,0.565035,0.947478,0.582314
45,1.5,1,0.637862,0.912938,0.83518,0.53273,0.998966,0.582329
46,1.53333,1.00244,0.607824,0.955736,0.819193,0.497925,1.05595,0.582339
47,1.56667,1.00978,0.578611,0.996737,0.803182,0.46473,1.11217,0.582362
48,1.6,1.022,0.549117,1.03772,0.786519,0.431891,1.1701,0.582365
49,1.63333,1.03911,0.519932,1.07795,0.7695,0.400088,1.22884,0.582382
50,1.66667,1.06111,0.491154,1.11749,0.752143,0.369418,1.28852,0.5824
51,1.7,1.088,0.462975,1.1562,0.734559,0.340082,1.34902,0.582397
52,1.73333,1.11978,0.435741,1.19368,0.716934,0.312398,1.40976,0.582434
53,1.76667,1.15644,0.409393,1.23019,0.699259,0.286272,1.47114,0.582423
54,1.8,1.198,0.384267,1.26526,0.681745,0.261973,1.53238,0.582465
55,1.83333,1.24444,0.360255,1.29919,0.66437,0.239342,1.59393,0.582451
56,1.86667,1.29578,0.337595,1.33158,0.647312,0.218529,1.65505,0.582497
57,1.9,1.352,0.316145,1.36277,0.630535,0.199341,1.7162,0.582486
58,1.93333,1.41311,0.296046,1.39244,0.614175,0.181824,1.77676,0.582523
59,1.96667,1.47911,0.277187,1.42084,0.598214,0.165817,1.83703,0.582529
60,2,1.55,0.259566,1.44791,0.582698,0.151248,1.89678,0.582532
61,2.03333,1.62578,0.2432,1.47349,0.567716,0.138068,1.95561,0.582602
62,2.06667,1.70644,0.227825,1.4983,0.553065,0.126002,2.0147,0.582497
63,2.1,1.792,0.213807,1.52094,0.539239,0.115293,2.07121,0.582738
64,2.13333,1.88244,0.200342,1.5442,0.525261,0.105232,2.13065,0.582368
65,2.16667,1.97778,0.18857,1.56323,0.513025,0.0967411,2.18251,0.583005
66,2.2,2.078,0.176556,1.58657,0.498895,0.0880829,2.2462,0.582088
67,2.23333,2.18311,0.167058,1.59973,0.489893,0.0818404,2.28562,0.583429
68,2.26667,2.29311,0.15577,1.62849,0.471564,0.0734553,2.37134,0.581691
69,2.3,2.408,0.228616,1.23248,0.643265,0.14706,1.53652,0.678491
70,2.33333,2.52778,0.409937,0.653029,0.872326,0.357599,0.699157,0.676688
71,2.36667,2.65244,0.470537,0.506444,0.920402,0.433083,0.5279,0.632079
72,2.4,2.782,0.461127,0.508203,0.914713,0.421799,0.531367,0.651951
73,2.43333,2.91644,0.479277,0.456396,0.928947,0.445223,0.473529,0.637943
74,2.46667,3.05578,0.479554,0.441476,0.929037,0.445523,0.458022,0.646943
75,2.5,3.2,0.488266,0.410031,0.93661,0.457315,0.423675,0.640654
76,2.53333,3.34911,0.490629,0.393743,0.936578,0.459513,0.406858,0.646988
77,2.56667,3.50311,0.495917,0.370778,0.941088,0.466702,0.382171,0.644136
78,2.6,3.662,0.496291,0.354536,0.946582,0.46978,0.364418,0.64434
79,2.63333,3.82578,0.503711,0.335887,0.942886,0.474943,0.345946,0.647284
80,2.66667,3.99444,0.505292,0.320958,0.945878,0.477945,0.329948,0.64781
81,2.7,4.168,0.503108,0.305575,0.957352,0.481651,0.312247,0.640776
82,2.73333,4.34644,0.504389,0.29222,0.96015,0.48429,0.298236,0.640635
83,2.76667,4.52978,0.508544,0.279015,0.957945,0.487157,0.285086,0.642736
84,2.8,4.718,0.509507,0.267121,0.960626,0.489446,0.272556,0.642119
85,2.83333,4.91111,0.514168,0.255672,0.956343,0.49172,0.261486,0.645606
86,2.86667,5.10911,0.518792,0.245154,0.951536,0.493649,0.251332,0.649797
87,2.9,5.312,0.518869,0.2351,0.95496,0.495499,0.240557,0.647989
88,2.93333,5.51978,0.517627,0.225763,0.960414,0.497136,0.230349,0.645046
89,2.96667,5.73244,0.517584,0.216864,0.963365,0.498623,0.220936,0.643441
90,3,5.95,0.517087,0.208622,0.966956,0.5,0.21215,0.641859
