n,x,area,density,velocity,temperature,pressure,mach,mass_flow
69,1.725,1.11137,0.442135,1.18431,0.7213,0.318912,1.39447,0.581945
70,1.75,1.1375,0.4226,1.21107,0.70832,0.299336,1.43898,0.58217
71,1.775,1.16637,0.402641,1.23908,0.694797,0.279753,1.48652,0.581909
72,1.8,1.198,0.384444,1.26419,0.681983,0.262185,1.53082,0.582239
73,1.825,1.23237,0.365685,1.29108,0.668554,0.24448,1.57901,0.581837
74,1.85,1.2695,0.349062,1.31419,0.656117,0.229025,1.62243,0.582362
75,1.875,1.30937,0.331516,1.34013,0.642847,0.213114,1.67145,0.581721
76,1.9,1.352,0.31664,1.36087,0.630982,0.199794,1.7132,0.582585
77,1.925,1.39738,0.300166,1.38634,0.617845,0.185456,1.76373,0.581493
78,1.95,1.4455,0.287244,1.40407,0.606795,0.174298,1.80245,0.582984
79,1.975,1.49638,0.271523,1.43003,0.593642,0.161188,1.85604,0.581021
80,2,1.55,0.260925,1.44338,0.583756,0.152317,1.88911,0.583754
81,2.025,1.60638,0.245323,1.47192,0.570305,0.139909,1.94915,0.580057
82,2.05,1.6655,0.237461,1.47922,0.561153,0.133252,1.97456,0.585018
83,2.075,1.72738,0.335706,1.13382,0.702148,0.235715,1.35293,0.657493
84,2.1,1.792,0.542553,0.661065,0.885156,0.480244,0.702596,0.642724
85,2.125,1.85938,0.604492,0.544774,0.924015,0.55856,0.566722,0.612314
86,2.15,1.9295,0.594598,0.546869,0.918722,0.54627,0.570542,0.62741
87,2.175,2.00237,0.615341,0.50214,0.930634,0.572657,0.520512,0.618708
88,2.2,2.078,0.616289,0.487943,0.931886,0.574311,0.505466,0.624883
89,2.225,2.15638,0.628834,0.457589,0.938424,0.590113,0.472379,0.620491
90,2.25,2.2375,0.632826,0.440206,0.940678,0.595285,0.453879,0.623309
91,2.275,2.32137,0.640725,0.416724,0.94617,0.606235,0.428425,0.61982
92,2.3,2.408,0.645526,0.399898,0.947705,0.611768,0.410805,0.621612
93,2.325,2.49738,0.65169,0.381341,0.950243,0.619264,0.391198,0.620637
94,2.35,2.5895,0.654584,0.366622,0.952819,0.623701,0.375579,0.621441
95,2.375,2.68438,0.658391,0.351611,0.954999,0.628763,0.359803,0.621426
96,2.4,2.782,0.661929,0.338548,0.955382,0.632396,0.346377,0.623431
97,2.425,2.88237,0.666176,0.325386,0.955373,0.636446,0.332897,0.624796
98,2.45,2.9855,0.667629,0.313162,0.958555,0.639959,0.319848,0.624196
99,2.475,3.09137,0.670224,0.30114,0.960268,0.643595,0.307314,0.623936
100,2.5,3.2,0.673544,0.289968,0.96022,0.64675,0.295932,0.62498
101,2.525,3.31137,0.677549,0.279317,0.95892,0.649715,0.285222,0.62668
102,2.55,3.4255,0.675628,0.269374,0.965457,0.65229,0.27409,0.62343
103,2.575,3.54237,0.671455,0.259864,0.97508,0.654723,0.263136,0.6181
104,2.6,3.662,0.674501,0.250825,0.973985,0.656954,0.254158,0.619544
105,2.625,3.78438,0.675371,0.242199,0.975828,0.659047,0.245183,0.619026
106,2.65,3.9095,0.678107,0.234009,0.974728,0.66097,0.237046,0.620372
107,2.675,4.03738,0.683258,0.226203,0.969999,0.662759,0.229691,0.623995
108,2.7,4.168,0.68461,0.218742,0.970551,0.664449,0.222038,0.624171
109,2.725,4.30138,0.68637,0.211578,0.970422,0.666068,0.214772,0.62465
110,2.75,4.4375,0.685065,0.204722,0.974502,0.667597,0.207363,0.62235
111,2.775,4.57638,0.682576,0.198164,0.980159,0.669033,0.200155,0.619011
112,2.8,4.718,0.685555,0.191904,0.977853,0.670372,0.19407,0.620705
113,2.825,4.86238,0.685802,0.185921,0.97932,0.67162,0.187858,0.619976
114,2.85,5.0095,0.681673,0.180207,0.98697,0.672791,0.181373,0.615378
115,2.875,5.15938,0.680166,0.174735,0.990743,0.67387,0.175549,0.613185
116,2.9,5.312,0.683079,0.16952,0.988014,0.674892,0.170554,0.615106
117,2.925,5.46737,0.685133,0.164503,0.986412,0.675823,0.16564,0.616208
118,2.95,5.6255,0.687692,0.159747,0.984076,0.676741,0.161048,0.617998
119,2.975,5.78638,0.692981,0.155113,0.977713,0.677537,0.156889,0.621981
120,3,5.95,0.69785,0.150827,0.972129,0.6784,0.152995,0.626265
