n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.0333333,5.73244,0.999621,0.101623,0.999848,0.999469,0.101631,0.582328
2,0.0666667,5.51978,0.999205,0.105582,0.999682,0.998887,0.105599,0.582328
3,0.1,5.312,0.99875,0.109762,0.9995,0.99825,0.109789,0.582326
4,0.133333,5.10911,0.99825,0.114177,0.999299,0.997551,0.114217,0.582324
5,0.166667,4.91111,0.997701,0.118845,0.99908,0.996783,0.1189,0.582321
6,0.2,4.718,0.997096,0.123784,0.998838,0.995938,0.123856,0.582317
7,0.233333,4.52978,0.99643,0.129013,0.998571,0.995006,0.129105,0.582312
8,0.266667,4.34644,0.995696,0.134552,0.998276,0.993979,0.134669,0.582308
9,0.3,4.168,0.994884,0.140426,0.99795,0.992845,0.14057,0.582303
10,0.333333,3.99444,0.993986,0.146659,0.997589,0.99159,0.146836,0.582297
11,0.366667,3.82578,0.99299,0.153276,0.99719,0.9902,0.153492,0.582291
12,0.4,3.662,0.991885,0.160308,0.996746,0.988658,0.160569,0.582284
13,0.433333,3.50311,0.990657,0.167785,0.996254,0.986946,0.1681,0.582277
14,0.466667,3.34911,0.989291,0.17574,0.995705,0.985041,0.176119,0.58227
15,0.5,3.2,0.987769,0.18421,0.995092,0.982921,0.184664,0.582263
16,0.533333,3.05578,0.986072,0.193234,0.994407,0.980557,0.193777,0.582257
17,0.566667,2.91644,0.984177,0.202854,0.993641,0.977919,0.203502,0.582251
18,0.6,2.782,0.982058,0.213114,0.992783,0.974971,0.213887,0.582245
19,0.633333,2.65244,0.979684,0.224062,0.991822,0.971673,0.224984,0.582238
20,0.666667,2.52778,0.977024,0.23575,0.990744,0.967981,0.236849,0.582232
21,0.7,2.408,0.97404,0.248232,0.989532,0.963844,0.249542,0.582226
22,0.733333,2.29311,0.970689,0.261567,0.988169,0.959205,0.263128,0.58222
23,0.766667,2.18311,0.966924,0.275813,0.986635,0.954002,0.277675,0.582215
24,0.8,2.078,0.962693,0.291035,0.984907,0.948162,0.293257,0.582209
25,0.833333,1.97778,0.957935,0.3073,0.982957,0.941609,0.309952,0.582204
26,0.866667,1.88244,0.952586,0.324673,0.980758,0.934256,0.327842,0.5822
27,0.9,1.792,0.946573,0.343224,0.978277,0.92601,0.347014,0.582196
28,0.933333,1.70644,0.939816,0.363021,0.975477,0.916768,0.367556,0.582193
29,0.966667,1.62578,0.93223,0.384132,0.972318,0.906424,0.389562,0.58219
30,1,1.55,0.923724,0.40662,0.968758,0.894865,0.413125,0.582187
31,1.03333,1.47911,0.914202,0.430545,0.964747,0.881974,0.438341,0.582186
32,1.06667,1.41311,0.903564,0.455958,0.960238,0.867636,0.465303,0.582183
33,1.1,1.352,0.891712,0.482901,0.955173,0.851739,0.494102,0.582182
34,1.13333,1.29578,0.878546,0.511402,0.949502,0.834181,0.524825,0.58218
35,1.16667,1.24444,0.86398,0.541474,0.943163,0.814874,0.557551,0.582179
36,1.2,1.198,0.847931,0.573109,0.936108,0.793755,0.592344,0.582176
37,1.23333,1.15644,0.830343,0.606278,0.928278,0.770789,0.629264,0.582176
38,1.26667,1.11978,0.811171,0.640924,0.919634,0.74598,0.668342,0.582171
39,1.3,1.088,0.790414,0.676965,0.910127,0.719377,0.709603,0.58217
40,1.33333,1.06111,0.768089,0.714287,0.899741,0.691082,0.753033,0.582164
41,1.36667,1.03911,0.744269,0.752751,0.888449,0.661245,0.798611,0.582161
42,1.4,1.022,0.719057,0.792178,0.876266,0.630085,0.846262,0.582153
43,1.43333,1.00978,0.692607,0.832379,0.8632,0.597859,0.895912,0.582149
44,1.46667,1.00244,0.665181,0.873028,0.849333,0.56496,0.947303,0.582141
45,1.5,1,0.632763,0.919972,0.832507,0.52678,1.00828,0.582124
46,1.53333,1.00244,0.607896,0.955328,0.819213,0.497997,1.05548,0.58216
47,1.56667,1.00978,0.579484,0.995006,0.803702,0.465732,1.10986,0.582228
48,1.6,1.022,0.552391,1.03214,0.78835,0.435478,1.16248,0.582686
49,1.63333,1.03911,0.517505,1.08166,0.768051,0.39747,1.23423,0.581658
50,1.66667,1.06111,0.494349,1.11139,0.754216,0.372846,1.27976,0.582992
51,1.7,1.088,0.458404,1.16456,0.731257,0.335211,1.36184,0.580816
52,1.73333,1.11978,0.440996,1.18222,0.721439,0.318152,1.3919,0.583802
53,1.76667,1.15644,0.400829,1.2496,0.690714,0.276858,1.50353,0.579237
54,1.8,1.198,0.485205,1.05521,0.760983,0.369233,1.20949,0.613368
55,1.83333,1.24444,0.694462,0.702377,0.890432,0.618371,0.744302,0.607008
56,1.86667,1.29578,0.754184,0.608801,0.919679,0.693607,0.634833,0.594954
57,1.9,1.352,0.75832,0.587327,0.922241,0.699353,0.611591,0.602156
58,1.93333,1.41311,0.785611,0.538294,0.934599,0.734231,0.556816,0.59759
59,1.96667,1.47911,0.795226,0.51056,0.93969,0.747266,0.526699,0.600535
60,2,1.55,0.8125,0.475338,0.946624,0.769132,0.48856,0.598629
61,2.03333,1.62578,0.821153,0.449312,0.951685,0.781478,0.460579,0.599836
62,2.06667,1.70644,0.833428,0.421721,0.955398,0.796256,0.431452,0.599771
63,2.1,1.792,0.839921,0.398587,0.96036,0.806626,0.406729,0.599929
64,2.13333,1.88244,0.849734,0.375624,0.962032,0.817471,0.382966,0.600839
65,2.16667,1.97778,0.854426,0.355082,0.966962,0.826198,0.361093,0.600041
66,2.2,2.078,0.862295,0.335347,0.967959,0.834666,0.340856,0.600891
67,2.23333,2.18311,0.866168,0.317363,0.971815,0.841755,0.32193,0.600115
68,2.26667,2.29311,0.872153,0.300378,0.972709,0.848351,0.304575,0.60074
69,2.3,2.408,0.877064,0.284694,0.973736,0.854029,0.288489,0.601266
70,2.33333,2.52778,0.876177,0.26996,0.980689,0.859257,0.272621,0.597902
71,2.36667,2.65244,0.887958,0.256207,0.972903,0.863896,0.259769,0.603433
72,2.4,2.782,0.886112,0.243374,0.979631,0.868064,0.245869,0.599957
73,2.43333,2.91644,0.888437,0.231369,0.98127,0.871797,0.233562,0.599494
74,2.46667,3.05578,0.889633,0.220161,0.983679,0.875113,0.221971,0.598513
75,2.5,3.2,0.890081,0.209653,0.986555,0.878114,0.211069,0.597146
76,2.53333,3.34911,0.890897,0.199815,0.988661,0.880795,0.200947,0.59619
77,2.56667,3.50311,0.889336,0.190596,0.993114,0.883211,0.191262,0.593791
78,2.6,3.662,0.896828,0.181949,0.987237,0.885382,0.183134,0.597554
79,2.63333,3.82578,0.89751,0.17384,0.988664,0.887336,0.174822,0.596909
80,2.66667,3.99444,0.893572,0.166214,0.995003,0.889107,0.166612,0.593272
81,2.7,4.168,0.889668,0.159044,1.00116,0.890698,0.15895,0.589758
82,2.73333,4.34644,0.894393,0.152296,0.997488,0.892147,0.152507,0.592041
83,2.76667,4.52978,0.903674,0.14594,0.988695,0.893458,0.146788,0.597395
84,2.8,4.718,0.907391,0.139956,0.985975,0.894665,0.14095,0.59916
85,2.83333,4.91111,0.907165,0.1343,0.987421,0.895753,0.135148,0.598333
86,2.86667,5.10911,0.904337,0.128982,0.991625,0.896763,0.129517,0.595942
87,2.9,5.312,0.901081,0.123929,0.996186,0.897645,0.124163,0.593191
88,2.93333,5.51978,0.902849,0.119203,0.995193,0.898509,0.119497,0.594052
89,2.96667,5.73244,0.908831,0.114652,0.989406,0.899203,0.115273,0.597316
90,3,5.95,0.913806,0.110495,0.984891,0.9,0.11135,0.60078
